ENSG00000000003.1	gene_1
ENSG00000005100.1	gene_94
ENSG00000005102.1	gene_95
ENSG00000005108.1	gene_96
ENSG00000005156.1	gene_97
ENSG00000005175.1	gene_98
ENSG00000005187.1	gene_99
ENSG00000005194.1	gene_100
ENSG00000005206.1	gene_101
ENSG00000005238.1	gene_102
ENSG00000005243.1	gene_103
ENSG00000005249.1	gene_104
ENSG00000005302.1	gene_105
ENSG00000005339.1	gene_106
ENSG00000005339.10	gene_107
ENSG00000005339.11	gene_108
ENSG00000005339.12	gene_109
ENSG00000005339.13	gene_110
ENSG00000005339.14	gene_111
ENSG00000005339.15	gene_112
ENSG00000005339.16	gene_113
ENSG00000005339.17	gene_114
ENSG00000005339.18	gene_115
ENSG00000005339.19	gene_116
ENSG00000005339.2	gene_117
ENSG00000005339.3	gene_118
ENSG00000005339.4	gene_119
ENSG00000005339.5	gene_120
ENSG00000005339.6	gene_121
ENSG00000005339.7	gene_122
ENSG00000005339.8	gene_123
ENSG00000005339.9	gene_124
ENSG00000005379.1	gene_125
ENSG00000005381.1	gene_126
ENSG00000005421.1	gene_127
ENSG00000005436.1	gene_128
ENSG00000005448.1	gene_129
ENSG00000005469.1	gene_130
ENSG00000005471.1	gene_131
ENSG00000005483.1	gene_132
ENSG00000005486.1	gene_133
ENSG00000005513.1	gene_134
ENSG00000005700.1	gene_135
ENSG00000005810.1	gene_136
ENSG00000005812.1	gene_137
ENSG00000005812.2	gene_138
ENSG00000005844.1	gene_139
ENSG00000005844.2	gene_140
ENSG00000005882.1	gene_141
ENSG00000005884.1	gene_142
ENSG00000005889.1	gene_143
ENSG00000005889.2	gene_144
ENSG00000005893.1	gene_145
ENSG00000005961.1	gene_146
ENSG00000005981.1	gene_147
ENSG00000006007.1	gene_148
ENSG00000006015.1	gene_149
ENSG00000006016.1	gene_150
ENSG00000006025.1	gene_151
ENSG00000006042.1	gene_152
ENSG00000006047.1	gene_153
ENSG00000006062.1	gene_154
ENSG00000006071.1	gene_155
ENSG00000006116.1	gene_156
ENSG00000006118.1	gene_157
ENSG00000006125.1	gene_158
ENSG00000006125.2	gene_159
ENSG00000006125.3	gene_160
ENSG00000006125.4	gene_161
ENSG00000006125.5	gene_162
ENSG00000006128.1	gene_163
ENSG00000006194.1	gene_164
ENSG00000006210.1	gene_165
ENSG00000006282.1	gene_166
ENSG00000006283.1	gene_167
ENSG00000006377.1	gene_168
ENSG00000006432.1	gene_169
ENSG00000006451.1	gene_170
ENSG00000006453.1	gene_171
ENSG00000006459.1	gene_172
ENSG00000006468.1	gene_173
ENSG00000006530.1	gene_174
ENSG00000006534.1	gene_175
ENSG00000006534.2	gene_176
ENSG00000006555.1	gene_177
ENSG00000006576.1	gene_178
ENSG00000006606.1	gene_179
ENSG00000006607.1	gene_180
ENSG00000006611.1	gene_181
ENSG00000006625.1	gene_182
ENSG00000006634.1	gene_183
ENSG00000006638.1	gene_184
ENSG00000006652.1	gene_185
ENSG00000006695.1	gene_186
ENSG00000006704.1	gene_187
ENSG00000006712.1	gene_188
ENSG00000006715.1	gene_189
ENSG00000006740.1	gene_190
ENSG00000006744.1	gene_191
ENSG00000006747.1	gene_192
ENSG00000006756.1	gene_193
ENSG00000006756.2	gene_194
ENSG00000006757.1	gene_195
ENSG00000006788.1	gene_196
ENSG00000006831.1	gene_197
ENSG00000006831.2	gene_198
ENSG00000006831.3	gene_199
ENSG00000006837.1	gene_200
ENSG00000007001.1	gene_201
ENSG00000007038.1	gene_202
ENSG00000007038.2	gene_203
ENSG00000007047.1	gene_204
ENSG00000007062.1	gene_205
ENSG00000007080.1	gene_206
ENSG00000007129.1	gene_207
ENSG00000007129.10	gene_208
ENSG00000007129.11	gene_209
ENSG00000007129.12	gene_210
ENSG00000007129.13	gene_211
ENSG00000007129.14	gene_212
ENSG00000007129.15	gene_213
ENSG00000007129.16	gene_214
ENSG00000007129.17	gene_215
ENSG00000007129.18	gene_216
ENSG00000007129.19	gene_217
ENSG00000007129.2	gene_218
ENSG00000007129.20	gene_219
ENSG00000007129.21	gene_220
ENSG00000007129.22	gene_221
ENSG00000007129.23	gene_222
ENSG00000007129.24	gene_223
ENSG00000007129.25	gene_224
ENSG00000007129.26	gene_225
ENSG00000007129.27	gene_226
ENSG00000007129.28	gene_227
ENSG00000007129.29	gene_228
ENSG00000007129.3	gene_229
ENSG00000007129.30	gene_230
ENSG00000007129.31	gene_231
ENSG00000007129.32	gene_232
ENSG00000007129.33	gene_233
ENSG00000007129.4	gene_234
ENSG00000007129.5	gene_235
ENSG00000007129.6	gene_236
ENSG00000007129.7	gene_237
ENSG00000007129.8	gene_238
ENSG00000007129.9	gene_239
ENSG00000007168.1	gene_240
ENSG00000007171.1	gene_241
ENSG00000007174.1	gene_242
ENSG00000007202.1	gene_243
ENSG00000007216.1	gene_244
ENSG00000007237.1	gene_245
ENSG00000007255.1	gene_246
ENSG00000007264.1	gene_247
ENSG00000007306.1	gene_248
ENSG00000007306.2	gene_249
ENSG00000007312.1	gene_250
ENSG00000007314.1	gene_251
ENSG00000007341.1	gene_252
ENSG00000007350.1	gene_253
ENSG00000007350.2	gene_254
ENSG00000007372.1	gene_255
ENSG00000007376.1	gene_256
ENSG00000007384.1	gene_257
ENSG00000007392.1	gene_258
ENSG00000007402.1	gene_259
ENSG00000007516.1	gene_260
ENSG00000007520.1	gene_261
ENSG00000007541.1	gene_262
ENSG00000007545.1	gene_263
ENSG00000007866.1	gene_264
ENSG00000007908.1	gene_265
ENSG00000007923.1	gene_266
ENSG00000007923.2	gene_267
ENSG00000007933.1	gene_268
ENSG00000007944.1	gene_269
ENSG00000007952.1	gene_270
ENSG00000007968.1	gene_271
ENSG00000008018.1	gene_272
ENSG00000008056.1	gene_273
ENSG00000008056.2	gene_274
ENSG00000008083.1	gene_275
ENSG00000008083.2	gene_276
ENSG00000008086.1	gene_277
ENSG00000008118.1	gene_278
ENSG00000008130.1	gene_279
ENSG00000008130.2	gene_280
ENSG00000008130.3	gene_281
ENSG00000008196.1	gene_282
ENSG00000008196.2	gene_283
ENSG00000008197.1	gene_284
ENSG00000008226.1	gene_285
ENSG00000008256.1	gene_286
ENSG00000008277.1	gene_287
ENSG00000008282.1	gene_288
ENSG00000008283.1	gene_289
ENSG00000008294.1	gene_290
ENSG00000008300.1	gene_291
ENSG00000008300.2	gene_292
ENSG00000008311.1	gene_293
ENSG00000008323.1	gene_294
ENSG00000008324.1	gene_295
ENSG00000008382.1	gene_296
ENSG00000008382.2	gene_297
ENSG00000008394.1	gene_298
ENSG00000008405.1	gene_299
ENSG00000008438.1	gene_300
ENSG00000008441.1	gene_301
ENSG00000008513.1	gene_302
ENSG00000008516.1	gene_303
ENSG00000008517.1	gene_304
ENSG00000008517.2	gene_305
ENSG00000008517.3	gene_306
ENSG00000008517.4	gene_307
ENSG00000008710.1	gene_308
ENSG00000008735.1	gene_309
ENSG00000008838.1	gene_310
ENSG00000008853.1	gene_311
ENSG00000008869.1	gene_312
ENSG00000008952.1	gene_313
ENSG00000008988.1	gene_314
ENSG00000008988.2	gene_315
ENSG00000009307.1	gene_316
ENSG00000009307.2	gene_317
ENSG00000009307.3	gene_318
ENSG00000009307.4	gene_319
ENSG00000009335.1	gene_320
ENSG00000009413.1	gene_321
ENSG00000009694.1	gene_322
ENSG00000009709.1	gene_323
ENSG00000009724.1	gene_324
ENSG00000009765.1	gene_325
ENSG00000009780.1	gene_326
ENSG00000009790.1	gene_327
ENSG00000009830.1	gene_328
ENSG00000009844.1	gene_329
ENSG00000009950.1	gene_330
ENSG00000009954.1	gene_331
ENSG00000010017.1	gene_332
ENSG00000010030.1	gene_333
ENSG00000010072.1	gene_334
ENSG00000010165.1	gene_335
ENSG00000010219.1	gene_336
ENSG00000010244.1	gene_337
ENSG00000010244.2	gene_338
ENSG00000010244.3	gene_339
ENSG00000010256.1	gene_340
ENSG00000010270.1	gene_341
ENSG00000010278.1	gene_342
ENSG00000010282.1	gene_343
ENSG00000010292.1	gene_344
ENSG00000010295.1	gene_345
ENSG00000010310.1	gene_346
ENSG00000010318.1	gene_347
ENSG00000010319.1	gene_348
ENSG00000010322.1	gene_349
ENSG00000010327.1	gene_350
ENSG00000010361.1	gene_351
ENSG00000010379.1	gene_352
ENSG00000010404.1	gene_353
ENSG00000010438.1	gene_354
ENSG00000010539.1	gene_355
ENSG00000010610.1	gene_356
ENSG00000010626.1	gene_357
ENSG00000010626.2	gene_358
ENSG00000010671.1	gene_359
ENSG00000010704.1	gene_360
ENSG00000010803.1	gene_361
ENSG00000010810.1	gene_362
ENSG00000010818.1	gene_363
ENSG00000010932.1	gene_364
ENSG00000011007.1	gene_365
ENSG00000011007.10	gene_366
ENSG00000011007.2	gene_367
ENSG00000011007.3	gene_368
ENSG00000011007.4	gene_369
ENSG00000011007.5	gene_370
ENSG00000011007.6	gene_371
ENSG00000011007.7	gene_372
ENSG00000011007.8	gene_373
ENSG00000011007.9	gene_374
ENSG00000011009.1	gene_375
ENSG00000011021.1	gene_376
ENSG00000011028.1	gene_377
ENSG00000011083.1	gene_378
ENSG00000011105.1	gene_379
ENSG00000011114.1	gene_380
ENSG00000011132.1	gene_381
ENSG00000011143.1	gene_382
ENSG00000011198.1	gene_383
ENSG00000011201.1	gene_384
ENSG00000011243.1	gene_385
ENSG00000011258.1	gene_386
ENSG00000011260.1	gene_387
ENSG00000011275.1	gene_388
ENSG00000011295.1	gene_389
ENSG00000011304.1	gene_390
ENSG00000011332.1	gene_391
ENSG00000011347.1	gene_392
ENSG00000011347.2	gene_393
ENSG00000011376.1	gene_394
ENSG00000011405.1	gene_395
ENSG00000011422.1	gene_396
ENSG00000011426.1	gene_397
ENSG00000011426.2	gene_398
ENSG00000011451.1	gene_399
ENSG00000011454.1	gene_400
ENSG00000011454.2	gene_401
ENSG00000011465.1	gene_402
ENSG00000011478.1	gene_403
ENSG00000011485.1	gene_404
ENSG00000011523.1	gene_405
ENSG00000011566.1	gene_406
ENSG00000011590.1	gene_407
ENSG00000011600.1	gene_408
ENSG00000011638.1	gene_409
ENSG00000011677.1	gene_410
ENSG00000012048.1	gene_411
ENSG00000012061.1	gene_412
ENSG00000012124.1	gene_413
ENSG00000012171.1	gene_414
ENSG00000012174.1	gene_415
ENSG00000012211.1	gene_416
ENSG00000012223.1	gene_417
ENSG00000012232.1	gene_418
ENSG00000012504.1	gene_419
ENSG00000012660.1	gene_420
ENSG00000012660.2	gene_421
ENSG00000012779.1	gene_422
ENSG00000012779.2	gene_423
ENSG00000012822.1	gene_424
ENSG00000012963.1	gene_425
ENSG00000012963.2	gene_426
ENSG00000012983.1	gene_427
ENSG00000013016.1	gene_428
ENSG00000013275.1	gene_429
ENSG00000013288.1	gene_430
ENSG00000013293.1	gene_431
ENSG00000013297.1	gene_432
ENSG00000013306.1	gene_433
ENSG00000013306.2	gene_434
ENSG00000013364.1	gene_435
ENSG00000013374.1	gene_436
ENSG00000013375.1	gene_437
ENSG00000013392.1	gene_438
ENSG00000013441.1	gene_439
ENSG00000013503.1	gene_440
ENSG00000013503.2	gene_441
ENSG00000013523.1	gene_442
ENSG00000013561.1	gene_443
ENSG00000013563.1	gene_444
ENSG00000013573.1	gene_445
ENSG00000013583.1	gene_446
ENSG00000013588.1	gene_447
ENSG00000013619.1	gene_448
ENSG00000013725.1	gene_449
ENSG00000013810.1	gene_450
ENSG00000013810.2	gene_451
ENSG00000013810.3	gene_452
ENSG00000013810.4	gene_453
ENSG00000013810.5	gene_454
ENSG00000014123.1	gene_455
ENSG00000014138.1	gene_456
ENSG00000014164.1	gene_457
ENSG00000014164.2	gene_458
ENSG00000014216.1	gene_459
ENSG00000014257.1	gene_460
ENSG00000014641.1	gene_461
ENSG00000014824.1	gene_462
ENSG00000014914.1	gene_463
ENSG00000014919.1	gene_464
ENSG00000015133.1	gene_465
ENSG00000015133.10	gene_466
ENSG00000015133.11	gene_467
ENSG00000015133.12	gene_468
ENSG00000015133.13	gene_469
ENSG00000015133.14	gene_470
ENSG00000015133.15	gene_471
ENSG00000015133.16	gene_472
ENSG00000015133.17	gene_473
ENSG00000015133.18	gene_474
ENSG00000015133.19	gene_475
ENSG00000015133.2	gene_476
ENSG00000015133.20	gene_477
ENSG00000015133.21	gene_478
ENSG00000015133.22	gene_479
ENSG00000015133.23	gene_480
ENSG00000015133.24	gene_481
ENSG00000015133.25	gene_482
ENSG00000015133.26	gene_483
ENSG00000015133.27	gene_484
ENSG00000015133.28	gene_485
ENSG00000015133.29	gene_486
ENSG00000015133.3	gene_487
ENSG00000015133.30	gene_488
ENSG00000015133.31	gene_489
ENSG00000015133.32	gene_490
ENSG00000015133.33	gene_491
ENSG00000015133.34	gene_492
ENSG00000015133.35	gene_493
ENSG00000015133.36	gene_494
ENSG00000015133.37	gene_495
ENSG00000015133.38	gene_496
ENSG00000015133.39	gene_497
ENSG00000015133.4	gene_498
ENSG00000015133.40	gene_499
ENSG00000015133.41	gene_500
ENSG00000015133.42	gene_501
ENSG00000015133.43	gene_502
ENSG00000015133.44	gene_503
ENSG00000015133.45	gene_504
ENSG00000015133.46	gene_505
ENSG00000015133.47	gene_506
ENSG00000015133.48	gene_507
ENSG00000015133.49	gene_508
ENSG00000015133.5	gene_509
ENSG00000015133.50	gene_510
ENSG00000015133.51	gene_511
ENSG00000015133.52	gene_512
ENSG00000015133.53	gene_513
ENSG00000015133.54	gene_514
ENSG00000015133.55	gene_515
ENSG00000015133.56	gene_516
ENSG00000015133.57	gene_517
ENSG00000015133.58	gene_518
ENSG00000015133.59	gene_519
ENSG00000015133.6	gene_520
ENSG00000015133.60	gene_521
ENSG00000015133.61	gene_522
ENSG00000015133.62	gene_523
ENSG00000015133.63	gene_524
ENSG00000015133.64	gene_525
ENSG00000015133.65	gene_526
ENSG00000015133.66	gene_527
ENSG00000015133.67	gene_528
ENSG00000015133.68	gene_529
ENSG00000015133.69	gene_530
ENSG00000015133.7	gene_531
ENSG00000015133.70	gene_532
ENSG00000015133.71	gene_533
ENSG00000015133.8	gene_534
ENSG00000015133.9	gene_535
ENSG00000015153.1	gene_536
ENSG00000015171.1	gene_537
ENSG00000015285.1	gene_538
ENSG00000015413.1	gene_539
ENSG00000015475.1	gene_540
ENSG00000015479.1	gene_541
ENSG00000015520.1	gene_542
ENSG00000015532.1	gene_543
ENSG00000015592.1	gene_544
ENSG00000015676.1	gene_545
ENSG00000016082.1	gene_546
ENSG00000016391.1	gene_547
ENSG00000016402.1	gene_548
ENSG00000016490.1	gene_549
ENSG00000016490.2	gene_550
ENSG00000016602.1	gene_551
ENSG00000016602.2	gene_552
ENSG00000016864.1	gene_553
ENSG00000017260.1	gene_554
ENSG00000017427.1	gene_555
ENSG00000017483.1	gene_556
ENSG00000017797.1	gene_557
ENSG00000018189.1	gene_558
ENSG00000018236.1	gene_559
ENSG00000018280.1	gene_560
ENSG00000018408.1	gene_561
ENSG00000018510.1	gene_562
ENSG00000018610.1	gene_563
ENSG00000018610.2	gene_564
ENSG00000018625.1	gene_565
ENSG00000018699.1	gene_566
ENSG00000019102.1	gene_567
ENSG00000019102.2	gene_568
ENSG00000019144.1	gene_569
ENSG00000019169.1	gene_570
ENSG00000019186.1	gene_571
ENSG00000019485.1	gene_572
ENSG00000019505.1	gene_573
ENSG00000019549.1	gene_574
ENSG00000019582.1	gene_575
ENSG00000019991.1	gene_576
ENSG00000019995.1	gene_577
ENSG00000020129.1	gene_578
ENSG00000020181.1	gene_579
ENSG00000020256.1	gene_580
ENSG00000020426.1	gene_581
ENSG00000020577.1	gene_582
ENSG00000020633.1	gene_583
ENSG00000020922.1	gene_584
ENSG00000021300.1	gene_585
ENSG00000021355.1	gene_586
ENSG00000021355.2	gene_587
ENSG00000021355.3	gene_588
ENSG00000021355.4	gene_589
ENSG00000021355.5	gene_590
ENSG00000021355.6	gene_591
ENSG00000021355.7	gene_592
ENSG00000021488.1	gene_593
ENSG00000021488.2	gene_594
ENSG00000021574.1	gene_595
ENSG00000021645.1	gene_596
ENSG00000021762.1	gene_597
ENSG00000021776.1	gene_598
ENSG00000021826.1	gene_599
ENSG00000021852.1	gene_600
ENSG00000022267.1	gene_601
ENSG00000022267.2	gene_602
ENSG00000022267.3	gene_603
ENSG00000022277.1	gene_604
ENSG00000022355.1	gene_605
ENSG00000022556.1	gene_606
ENSG00000022567.1	gene_607
ENSG00000022840.1	gene_608
ENSG00000022976.1	gene_609
ENSG00000023041.1	gene_610
ENSG00000023171.1	gene_611
ENSG00000023191.1	gene_612
ENSG00000023228.1	gene_613
ENSG00000023287.1	gene_614
ENSG00000023318.1	gene_615
ENSG00000023330.1	gene_616
ENSG00000023445.1	gene_617
ENSG00000023516.1	gene_618
ENSG00000023572.1	gene_619
ENSG00000023572.2	gene_620
ENSG00000023608.1	gene_621
ENSG00000023697.1	gene_622
ENSG00000023734.1	gene_623
ENSG00000023839.1	gene_624
ENSG00000023892.1	gene_625
ENSG00000023902.1	gene_626
ENSG00000023909.1	gene_627
ENSG00000024048.1	gene_628
ENSG00000024422.1	gene_629
ENSG00000024526.1	gene_630
ENSG00000024862.1	gene_631
ENSG00000025039.1	gene_632
ENSG00000025156.1	gene_633
ENSG00000025293.1	gene_634
ENSG00000025434.1	gene_635
ENSG00000025708.1	gene_636
ENSG00000025770.1	gene_637
ENSG00000025772.1	gene_638
ENSG00000025772.2	gene_639
ENSG00000025796.1	gene_640
ENSG00000025796.2	gene_641
ENSG00000025800.1	gene_642
ENSG00000026025.1	gene_643
ENSG00000026103.1	gene_644
ENSG00000026297.1	gene_645
ENSG00000026508.1	gene_646
ENSG00000026559.1	gene_647
ENSG00000026652.1	gene_648
ENSG00000026751.1	gene_649
ENSG00000026950.1	gene_650
ENSG00000027001.1	gene_651
ENSG00000027001.2	gene_652
ENSG00000027075.1	gene_653
ENSG00000027644.1	gene_654
ENSG00000027697.1	gene_655
ENSG00000027847.1	gene_656
ENSG00000027869.1	gene_657
ENSG00000028116.1	gene_658
ENSG00000028137.1	gene_659
ENSG00000028203.1	gene_660
ENSG00000028277.1	gene_661
ENSG00000028277.2	gene_662
ENSG00000028310.1	gene_663
ENSG00000028310.2	gene_664
ENSG00000028310.3	gene_665
ENSG00000028528.1	gene_666
ENSG00000028839.1	gene_667
ENSG00000029153.1	gene_668
ENSG00000029363.1	gene_669
ENSG00000029364.1	gene_670
ENSG00000029534.1	gene_671
ENSG00000029559.1	gene_672
ENSG00000029639.1	gene_673
ENSG00000029639.2	gene_674
ENSG00000029725.1	gene_675
ENSG00000029993.1	gene_676
ENSG00000029993.2	gene_677
ENSG00000029993.3	gene_678
ENSG00000029993.4	gene_679
ENSG00000029993.5	gene_680
ENSG00000030066.1	gene_681
ENSG00000030304.1	gene_682
ENSG00000030419.1	gene_683
ENSG00000030582.1	gene_684
ENSG00000031003.1	gene_685
ENSG00000031081.1	gene_686
ENSG00000031691.1	gene_687
ENSG00000031698.1	gene_688
ENSG00000031823.1	gene_689
ENSG00000031823.2	gene_690
ENSG00000032219.1	gene_691
ENSG00000032389.1	gene_692
ENSG00000032444.1	gene_693
ENSG00000032742.1	gene_694
ENSG00000033011.1	gene_695
ENSG00000033030.1	gene_696
ENSG00000033100.1	gene_697
ENSG00000033122.1	gene_698
ENSG00000033170.1	gene_699
ENSG00000033178.1	gene_700
ENSG00000033327.1	gene_701
ENSG00000033627.1	gene_702
ENSG00000033800.1	gene_703
ENSG00000033867.1	gene_704
ENSG00000034053.1	gene_705
ENSG00000034152.1	gene_706
ENSG00000034239.1	gene_707
ENSG00000034239.2	gene_708
ENSG00000034510.1	gene_709
ENSG00000034510.2	gene_710
ENSG00000034533.1	gene_711
ENSG00000034677.1	gene_712
ENSG00000034693.1	gene_713
ENSG00000034713.1	gene_714
ENSG00000034971.1	gene_715
ENSG00000035115.1	gene_716
ENSG00000035141.1	gene_717
ENSG00000035403.1	gene_718
ENSG00000035499.1	gene_719
ENSG00000035664.1	gene_720
ENSG00000035681.1	gene_721
ENSG00000035687.1	gene_722
ENSG00000035720.1	gene_723
ENSG00000035862.1	gene_724
ENSG00000035928.1	gene_725
ENSG00000036054.1	gene_726
ENSG00000036257.1	gene_727
ENSG00000036448.1	gene_728
ENSG00000036473.1	gene_729
ENSG00000036530.1	gene_730
ENSG00000036549.1	gene_731
ENSG00000036565.1	gene_732
ENSG00000036672.1	gene_733
ENSG00000036828.1	gene_734
ENSG00000037042.1	gene_735
ENSG00000037241.1	gene_736
ENSG00000037241.2	gene_737
ENSG00000037241.3	gene_738
ENSG00000037241.4	gene_739
ENSG00000037280.1	gene_740
ENSG00000037474.1	gene_741
ENSG00000037637.1	gene_742
ENSG00000037749.1	gene_743
ENSG00000037757.1	gene_744
ENSG00000037897.1	gene_745
ENSG00000037965.1	gene_746
ENSG00000038002.1	gene_747
ENSG00000038210.1	gene_748
ENSG00000038219.1	gene_749
ENSG00000038274.1	gene_750
ENSG00000038295.1	gene_751
ENSG00000038358.1	gene_752
ENSG00000038382.1	gene_753
ENSG00000038382.2	gene_754
ENSG00000038382.3	gene_755
ENSG00000038382.4	gene_756
ENSG00000038382.5	gene_757
ENSG00000038427.1	gene_758
ENSG00000038532.1	gene_759
ENSG00000038945.1	gene_760
ENSG00000039068.1	gene_761
ENSG00000039123.1	gene_762
ENSG00000039139.1	gene_763
ENSG00000039319.1	gene_764
ENSG00000039523.1	gene_765
ENSG00000039537.1	gene_766
ENSG00000039560.1	gene_767
ENSG00000039600.1	gene_768
ENSG00000039650.1	gene_769
ENSG00000039987.1	gene_770
ENSG00000040199.1	gene_771
ENSG00000040275.1	gene_772
ENSG00000040275.2	gene_773
ENSG00000040275.3	gene_774
ENSG00000040275.4	gene_775
ENSG00000040275.5	gene_776
ENSG00000040275.6	gene_777
ENSG00000040341.1	gene_778
ENSG00000040487.1	gene_779
ENSG00000040531.1	gene_780
ENSG00000040608.1	gene_781
ENSG00000040633.1	gene_782
ENSG00000040731.1	gene_783
ENSG00000040933.1	gene_784
ENSG00000041353.1	gene_785
ENSG00000041357.1	gene_786
ENSG00000041515.1	gene_787
ENSG00000041802.1	gene_788
ENSG00000041880.1	gene_789
ENSG00000041982.1	gene_790
ENSG00000041988.1	gene_791
ENSG00000042062.1	gene_792
ENSG00000042088.1	gene_793
ENSG00000042286.1	gene_794
ENSG00000042317.1	gene_795
ENSG00000042429.1	gene_796
ENSG00000042445.1	gene_797
ENSG00000042493.1	gene_798
ENSG00000042493.2	gene_799
ENSG00000042493.3	gene_800
ENSG00000042753.1	gene_801
ENSG00000042781.1	gene_802
ENSG00000042813.1	gene_803
ENSG00000042832.1	gene_804
ENSG00000042832.2	gene_805
ENSG00000042980.1	gene_806
ENSG00000043039.1	gene_807
ENSG00000043093.1	gene_808
ENSG00000043143.1	gene_809
ENSG00000043355.1	gene_810
ENSG00000043462.1	gene_811
ENSG00000043514.1	gene_812
ENSG00000043591.1	gene_813
ENSG00000044012.1	gene_814
ENSG00000044012.2	gene_815
ENSG00000044090.1	gene_816
ENSG00000044115.1	gene_817
ENSG00000044115.2	gene_818
ENSG00000044115.3	gene_819
ENSG00000044446.1	gene_820
ENSG00000044459.1	gene_821
ENSG00000044524.1	gene_822
ENSG00000044574.1	gene_823
ENSG00000046604.1	gene_824
ENSG00000046647.1	gene_825
ENSG00000046647.2	gene_826
ENSG00000046647.3	gene_827
ENSG00000046647.4	gene_828
ENSG00000046651.1	gene_829
ENSG00000046651.2	gene_830
ENSG00000046653.1	gene_831
ENSG00000046889.1	gene_832
ENSG00000047056.1	gene_833
ENSG00000047188.1	gene_834
ENSG00000047230.1	gene_835
ENSG00000047230.2	gene_836
ENSG00000047249.1	gene_837
ENSG00000047315.1	gene_838
ENSG00000047315.2	gene_839
ENSG00000047315.3	gene_840
ENSG00000047315.4	gene_841
ENSG00000047315.5	gene_842
ENSG00000047315.6	gene_843
ENSG00000047346.1	gene_844
ENSG00000047365.1	gene_845
ENSG00000047410.1	gene_846
ENSG00000047457.1	gene_847
ENSG00000047457.2	gene_848
ENSG00000047578.1	gene_849
ENSG00000047579.1	gene_850
ENSG00000047597.1	gene_851
ENSG00000047617.1	gene_852
ENSG00000047621.1	gene_853
ENSG00000047634.1	gene_854
ENSG00000047634.2	gene_855
ENSG00000047648.1	gene_856
ENSG00000047662.1	gene_857
ENSG00000047849.1	gene_858
ENSG00000047849.2	gene_859
ENSG00000047932.1	gene_860
ENSG00000047936.1	gene_861
ENSG00000048028.1	gene_862
ENSG00000048052.1	gene_863
ENSG00000048140.1	gene_864
ENSG00000048162.1	gene_865
ENSG00000048162.2	gene_866
ENSG00000048342.1	gene_867
ENSG00000048392.1	gene_868
ENSG00000048405.1	gene_869
ENSG00000048462.1	gene_870
ENSG00000048471.1	gene_871
ENSG00000048540.1	gene_872
ENSG00000048544.1	gene_873
ENSG00000048649.1	gene_874
