velifer_IDmodified-gene-14 ENSG00000185385.35
velifer_evm.TU.SUPER__1.106 ENSG00000179010.1
velifer_evm.TU.SUPER__1.1060 ENSG00000187522.2
velifer_evm.TU.SUPER__1.1062 ENSG00000152455.1
velifer_evm.TU.SUPER__1.1063 ENSG00000152457.1
velifer_evm.TU.SUPER__1.1064 ENSG00000197889.1
velifer_evm.TU.SUPER__1.1065 ENSG00000152463.1
velifer_evm.TU.SUPER__1.1066 ENSG00000176244.1
velifer_evm.TU.SUPER__1.1067 ENSG00000152464.1
velifer_evm.TU.SUPER__1.1069 ENSG00000148468.1
velifer_evm.TU.SUPER__1.107 ENSG00000170846.1
velifer_evm.TU.SUPER__1.1070 ENSG00000170160.2
velifer_evm.TU.SUPER__1.1071 ENSG00000170160.3
velifer_evm.TU.SUPER__1.1072 ENSG00000107890.27
velifer_evm.TU.SUPER__1.1073 ENSG00000163249.16
velifer_evm.TU.SUPER__1.1074 ENSG00000163249.17
velifer_evm.TU.SUPER__1.1075 ENSG00000163249.18
velifer_evm.TU.SUPER__1.1076 ENSG00000163249.19
velifer_evm.TU.SUPER__1.1077 ENSG00000163249.20
velifer_evm.TU.SUPER__1.1078 ENSG00000163249.21
velifer_evm.TU.SUPER__1.1079 ENSG00000163249.22
velifer_evm.TU.SUPER__1.1080 ENSG00000163249.23
velifer_evm.TU.SUPER__1.1081 ENSG00000163249.24
velifer_evm.TU.SUPER__1.1082 ENSG00000163249.25
velifer_evm.TU.SUPER__1.1083 ENSG00000163249.26
velifer_evm.TU.SUPER__1.1084 ENSG00000163249.27
velifer_evm.TU.SUPER__1.1087 ENSG00000107890.28
velifer_evm.TU.SUPER__1.1089 ENSG00000107890.29
velifer_evm.TU.SUPER__1.109 ENSG00000013288.1
velifer_evm.TU.SUPER__1.1090 ENSG00000163249.28
velifer_evm.TU.SUPER__1.1092 ENSG00000107890.30
velifer_evm.TU.SUPER__1.1094 ENSG00000107890.31
velifer_evm.TU.SUPER__1.1095 ENSG00000163249.29
velifer_evm.TU.SUPER__1.1096 ENSG00000163249.30
velifer_evm.TU.SUPER__1.1097 ENSG00000163249.31
velifer_evm.TU.SUPER__1.1098 ENSG00000163249.32
velifer_evm.TU.SUPER__1.11 ENSG00000215375.1
velifer_evm.TU.SUPER__1.110 ENSG00000074211.1
velifer_evm.TU.SUPER__1.1101 ENSG00000163249.33
velifer_evm.TU.SUPER__1.1102 ENSG00000163249.34
velifer_evm.TU.SUPER__1.1103 ENSG00000107890.32
velifer_evm.TU.SUPER__1.1105 ENSG00000163249.35
velifer_evm.TU.SUPER__1.1106 ENSG00000163249.36
velifer_evm.TU.SUPER__1.1108 ENSG00000107890.33
velifer_evm.TU.SUPER__1.111 ENSG00000109501.1
velifer_evm.TU.SUPER__1.1110 ENSG00000163249.37
velifer_evm.TU.SUPER__1.1111 ENSG00000188738.2
velifer_evm.TU.SUPER__1.1112 ENSG00000204304.1
velifer_evm.TU.SUPER__1.1115 ENSG00000164037.2
velifer_evm.TU.SUPER__1.1119 ENSG00000107890.34
velifer_evm.TU.SUPER__1.112 ENSG00000152969.1
velifer_evm.TU.SUPER__1.1121 ENSG00000180329.1
velifer_evm.TU.SUPER__1.1123 ENSG00000163249.38
velifer_evm.TU.SUPER__1.1124 ENSG00000163249.39
velifer_evm.TU.SUPER__1.1127 ENSG00000092208.1
velifer_evm.TU.SUPER__1.1128 ENSG00000182400.2
velifer_evm.TU.SUPER__1.1129 ENSG00000100941.1
velifer_evm.TU.SUPER__1.113 ENSG00000181215.1
velifer_evm.TU.SUPER__1.1130 ENSG00000150527.1
velifer_evm.TU.SUPER__1.1131 ENSG00000165355.1
velifer_evm.TU.SUPER__1.1132 ENSG00000188738.3
velifer_evm.TU.SUPER__1.1133 ENSG00000166441.1
velifer_evm.TU.SUPER__1.1134 ENSG00000272325.1
velifer_evm.TU.SUPER__1.1136 ENSG00000128951.1
velifer_evm.TU.SUPER__1.1138 ENSG00000125356.1
velifer_evm.TU.SUPER__1.1139 ENSG00000137818.1
velifer_evm.TU.SUPER__1.1141 ENSG00000165379.1
velifer_evm.TU.SUPER__1.1143 ENSG00000196262.1
velifer_evm.TU.SUPER__1.1145 ENSG00000163510.1
velifer_evm.TU.SUPER__1.1147 ENSG00000123416.1
velifer_evm.TU.SUPER__1.1148 ENSG00000123416.2
velifer_evm.TU.SUPER__1.115 ENSG00000072832.1
velifer_evm.TU.SUPER__1.1151 ENSG00000073536.1
velifer_evm.TU.SUPER__1.1152 ENSG00000083720.2
velifer_evm.TU.SUPER__1.1153 ENSG00000189139.1
velifer_evm.TU.SUPER__1.1158 ENSG00000179476.1
velifer_evm.TU.SUPER__1.116 ENSG00000072840.1
velifer_evm.TU.SUPER__1.1160 ENSG00000198718.1
velifer_evm.TU.SUPER__1.1161 ENSG00000185246.1
velifer_evm.TU.SUPER__1.1162 ENSG00000100442.1
velifer_evm.TU.SUPER__1.1163 ENSG00000187790.1
velifer_evm.TU.SUPER__1.1166 ENSG00000015133.16
velifer_evm.TU.SUPER__1.1167 ENSG00000170144.1
velifer_evm.TU.SUPER__1.1168 ENSG00000087095.2
velifer_evm.TU.SUPER__1.1169 ENSG00000005339.1
velifer_evm.TU.SUPER__1.117 ENSG00000173040.1
velifer_evm.TU.SUPER__1.1171 ENSG00000147403.1
velifer_evm.TU.SUPER__1.1172 ENSG00000139915.1
velifer_evm.TU.SUPER__1.1174 ENSG00000072506.1
velifer_evm.TU.SUPER__1.1175 ENSG00000157020.2
velifer_evm.TU.SUPER__1.1176 ENSG00000139343.1
velifer_evm.TU.SUPER__1.118 ENSG00000152953.1
velifer_evm.TU.SUPER__1.1180 ENSG00000141552.1
velifer_evm.TU.SUPER__1.1183 ENSG00000072518.1
velifer_evm.TU.SUPER__1.1184 ENSG00000178234.1
velifer_evm.TU.SUPER__1.1185 ENSG00000089009.1
velifer_evm.TU.SUPER__1.1187 ENSG00000173674.1
velifer_evm.TU.SUPER__1.119 ENSG00000170891.1
velifer_evm.TU.SUPER__1.1190 ENSG00000213741.3
velifer_evm.TU.SUPER__1.1193 ENSG00000241343.1
velifer_evm.TU.SUPER__1.1194 ENSG00000168282.1
velifer_evm.TU.SUPER__1.1195 ENSG00000165506.1
velifer_evm.TU.SUPER__1.1198 ENSG00000197776.1
velifer_evm.TU.SUPER__1.1199 ENSG00000165516.1
velifer_evm.TU.SUPER__1.12 ENSG00000169026.1
velifer_evm.TU.SUPER__1.1200 ENSG00000165525.1
velifer_evm.TU.SUPER__1.1209 ENSG00000140332.1
velifer_evm.TU.SUPER__1.121 ENSG00000163132.1
velifer_evm.TU.SUPER__1.1215 ENSG00000137831.1
velifer_evm.TU.SUPER__1.1216 ENSG00000141429.1
velifer_evm.TU.SUPER__1.1217 ENSG00000166173.1
velifer_evm.TU.SUPER__1.1218 ENSG00000137821.1
velifer_evm.TU.SUPER__1.1220 ENSG00000187720.1
velifer_evm.TU.SUPER__1.1221 ENSG00000278570.1
velifer_evm.TU.SUPER__1.1222 ENSG00000066933.1
velifer_evm.TU.SUPER__1.1223 ENSG00000166192.1
velifer_evm.TU.SUPER__1.1226 ENSG00000140488.1
velifer_evm.TU.SUPER__1.1227 ENSG00000213614.1
velifer_evm.TU.SUPER__1.1230 ENSG00000187806.1
velifer_evm.TU.SUPER__1.1231 ENSG00000189403.2
velifer_evm.TU.SUPER__1.1232 ENSG00000166233.1
velifer_evm.TU.SUPER__1.1234 ENSG00000159322.1
velifer_evm.TU.SUPER__1.1239 ENSG00000138622.1
velifer_evm.TU.SUPER__1.124 ENSG00000121067.1
velifer_evm.TU.SUPER__1.1240 ENSG00000183324.1
velifer_evm.TU.SUPER__1.1241 ENSG00000156642.1
velifer_evm.TU.SUPER__1.1242 ENSG00000103855.1
velifer_evm.TU.SUPER__1.1244 ENSG00000205363.1
velifer_evm.TU.SUPER__1.1246 ENSG00000170906.1
velifer_evm.TU.SUPER__1.1249 ENSG00000167139.1
velifer_evm.TU.SUPER__1.1252 ENSG00000067221.1
velifer_evm.TU.SUPER__1.1253 ENSG00000140464.1
velifer_evm.TU.SUPER__1.1254 ENSG00000167178.1
velifer_evm.TU.SUPER__1.1255 ENSG00000114850.1
velifer_evm.TU.SUPER__1.1257 ENSG00000129009.1
velifer_evm.TU.SUPER__1.1260 ENSG00000140459.1
velifer_evm.TU.SUPER__1.1262 ENSG00000138623.1
velifer_evm.TU.SUPER__1.1263 ENSG00000138629.1
velifer_evm.TU.SUPER__1.1264 ENSG00000132963.1
velifer_evm.TU.SUPER__1.1265 ENSG00000179361.1
velifer_evm.TU.SUPER__1.1269 ENSG00000179151.1
velifer_evm.TU.SUPER__1.127 ENSG00000168818.1
velifer_evm.TU.SUPER__1.1270 ENSG00000140465.1
velifer_evm.TU.SUPER__1.1271 ENSG00000140505.1
velifer_evm.TU.SUPER__1.1272 ENSG00000196262.2
velifer_evm.TU.SUPER__1.1273 ENSG00000124570.1
velifer_evm.TU.SUPER__1.1274 ENSG00000103653.1
velifer_evm.TU.SUPER__1.1275 ENSG00000213578.1
velifer_evm.TU.SUPER__1.1277 ENSG00000140497.1
velifer_evm.TU.SUPER__1.1278 ENSG00000178802.1
velifer_evm.TU.SUPER__1.1279 ENSG00000178761.1
velifer_evm.TU.SUPER__1.128 ENSG00000168824.1
velifer_evm.TU.SUPER__1.1281 ENSG00000205572.1
velifer_evm.TU.SUPER__1.1282 ENSG00000178718.1
velifer_evm.TU.SUPER__1.1284 ENSG00000138621.1
velifer_evm.TU.SUPER__1.1289 ENSG00000140400.1
velifer_evm.TU.SUPER__1.129 ENSG00000168826.1
velifer_evm.TU.SUPER__1.1290 ENSG00000140400.2
velifer_evm.TU.SUPER__1.1291 ENSG00000140400.3
velifer_evm.TU.SUPER__1.1292 ENSG00000169375.1
velifer_evm.TU.SUPER__1.1293 ENSG00000169410.1
velifer_evm.TU.SUPER__1.1294 ENSG00000169371.1
velifer_evm.TU.SUPER__1.1295 ENSG00000177971.1
velifer_evm.TU.SUPER__1.1296 ENSG00000173548.1
velifer_evm.TU.SUPER__1.1297 ENSG00000173546.1
velifer_evm.TU.SUPER__1.1298 ENSG00000182950.1
velifer_evm.TU.SUPER__1.13 ENSG00000185619.1
velifer_evm.TU.SUPER__1.130 ENSG00000145220.1
velifer_evm.TU.SUPER__1.1300 ENSG00000119685.1
velifer_evm.TU.SUPER__1.1301 ENSG00000119685.2
velifer_evm.TU.SUPER__1.1304 ENSG00000160877.1
velifer_evm.TU.SUPER__1.1307 ENSG00000205126.3
velifer_evm.TU.SUPER__1.1308 ENSG00000205126.4
velifer_evm.TU.SUPER__1.1309 ENSG00000140382.1
velifer_evm.TU.SUPER__1.131 ENSG00000132406.1
velifer_evm.TU.SUPER__1.1310 ENSG00000173517.1
velifer_evm.TU.SUPER__1.1311 ENSG00000140391.1
velifer_evm.TU.SUPER__1.1312 ENSG00000140368.1
velifer_evm.TU.SUPER__1.1317 ENSG00000069345.1
velifer_evm.TU.SUPER__1.132 ENSG00000163982.1
velifer_evm.TU.SUPER__1.1320 ENSG00000163870.1
velifer_evm.TU.SUPER__1.1321 ENSG00000174827.1
velifer_evm.TU.SUPER__1.1323 ENSG00000112977.1
velifer_evm.TU.SUPER__1.1325 ENSG00000230667.1
velifer_evm.TU.SUPER__1.1329 ENSG00000177283.1
velifer_evm.TU.SUPER__1.133 ENSG00000169676.1
velifer_evm.TU.SUPER__1.1331 ENSG00000177291.1
velifer_evm.TU.SUPER__1.1333 ENSG00000108100.1
velifer_evm.TU.SUPER__1.1336 ENSG00000091947.1
velifer_evm.TU.SUPER__1.1338 ENSG00000164104.1
velifer_evm.TU.SUPER__1.1340 ENSG00000148498.1
velifer_evm.TU.SUPER__1.1341 ENSG00000139970.1
velifer_evm.TU.SUPER__1.1343 ENSG00000011426.2
velifer_evm.TU.SUPER__1.1344 ENSG00000145907.1
velifer_evm.TU.SUPER__1.1349 ENSG00000099250.1
velifer_evm.TU.SUPER__1.1354 ENSG00000187840.1
velifer_evm.TU.SUPER__1.1356 ENSG00000150093.1
velifer_evm.TU.SUPER__1.1357 ENSG00000216937.1
velifer_evm.TU.SUPER__1.1360 ENSG00000115548.1
velifer_evm.TU.SUPER__1.1361 ENSG00000216937.2
velifer_evm.TU.SUPER__1.1362 ENSG00000120616.1
velifer_evm.TU.SUPER__1.1364 ENSG00000170759.1
velifer_evm.TU.SUPER__1.1365 ENSG00000138166.1
velifer_evm.TU.SUPER__1.1366 ENSG00000230667.2
velifer_evm.TU.SUPER__1.1368 ENSG00000135047.3
velifer_evm.TU.SUPER__1.1369 ENSG00000148516.1
velifer_evm.TU.SUPER__1.137 ENSG00000082068.2
velifer_evm.TU.SUPER__1.1373 ENSG00000144713.3
velifer_evm.TU.SUPER__1.1375 ENSG00000197321.1
velifer_evm.TU.SUPER__1.1378 ENSG00000132603.1
velifer_evm.TU.SUPER__1.1379 ENSG00000165757.1
velifer_evm.TU.SUPER__1.138 ENSG00000082068.3
velifer_evm.TU.SUPER__1.1380 ENSG00000107951.1
velifer_evm.TU.SUPER__1.1381 ENSG00000107968.1
velifer_evm.TU.SUPER__1.1382 ENSG00000114867.1
velifer_evm.TU.SUPER__1.1387 ENSG00000095739.1
velifer_evm.TU.SUPER__1.1388 ENSG00000197728.2
velifer_evm.TU.SUPER__1.1389 ENSG00000095787.1
velifer_evm.TU.SUPER__1.139 ENSG00000134453.1
velifer_evm.TU.SUPER__1.1390 ENSG00000110934.1
velifer_evm.TU.SUPER__1.1392 ENSG00000150051.1
velifer_evm.TU.SUPER__1.1393 ENSG00000205581.3
velifer_evm.TU.SUPER__1.1394 ENSG00000169126.1
velifer_evm.TU.SUPER__1.1395 ENSG00000150054.1
velifer_evm.TU.SUPER__1.1397 ENSG00000188738.4
velifer_evm.TU.SUPER__1.1398 ENSG00000163249.40
velifer_evm.TU.SUPER__1.1399 ENSG00000188152.1
velifer_evm.TU.SUPER__1.14 ENSG00000168993.1
velifer_evm.TU.SUPER__1.140 ENSG00000103264.3
velifer_evm.TU.SUPER__1.1400 ENSG00000077943.1
velifer_evm.TU.SUPER__1.1401 ENSG00000148481.1
velifer_evm.TU.SUPER__1.1403 ENSG00000148426.1
velifer_evm.TU.SUPER__1.1405 ENSG00000151461.1
velifer_evm.TU.SUPER__1.1406 ENSG00000181192.1
velifer_evm.TU.SUPER__1.1407 ENSG00000065665.2
velifer_evm.TU.SUPER__1.1409 ENSG00000151465.1
velifer_evm.TU.SUPER__1.141 ENSG00000136875.2
velifer_evm.TU.SUPER__1.1410 ENSG00000244687.2
velifer_evm.TU.SUPER__1.1412 ENSG00000151468.1
velifer_evm.TU.SUPER__1.1413 ENSG00000170515.1
velifer_evm.TU.SUPER__1.1414 ENSG00000123240.1
velifer_evm.TU.SUPER__1.1415 ENSG00000065328.1
velifer_evm.TU.SUPER__1.1416 ENSG00000165623.1
velifer_evm.TU.SUPER__1.1417 ENSG00000107537.1
velifer_evm.TU.SUPER__1.1418 ENSG00000086475.1
velifer_evm.TU.SUPER__1.142 ENSG00000116726.3
velifer_evm.TU.SUPER__1.1425 ENSG00000231500.1
velifer_evm.TU.SUPER__1.1426 ENSG00000162244.2
velifer_evm.TU.SUPER__1.1428 ENSG00000105619.1
velifer_evm.TU.SUPER__1.1429 ENSG00000184990.1
velifer_evm.TU.SUPER__1.1431 ENSG00000139874.1
velifer_evm.TU.SUPER__1.1434 ENSG00000129514.1
velifer_evm.TU.SUPER__1.1436 ENSG00000183032.1
velifer_evm.TU.SUPER__1.1438 ENSG00000136327.1
velifer_evm.TU.SUPER__1.144 ENSG00000116726.4
velifer_evm.TU.SUPER__1.1440 ENSG00000136352.1
velifer_evm.TU.SUPER__1.1442 ENSG00000151332.1
velifer_evm.TU.SUPER__1.1446 ENSG00000121067.2
velifer_evm.TU.SUPER__1.1448 ENSG00000166913.1
velifer_evm.TU.SUPER__1.1449 ENSG00000163682.2
velifer_evm.TU.SUPER__1.145 ENSG00000198440.2
velifer_evm.TU.SUPER__1.1451 ENSG00000100916.1
velifer_evm.TU.SUPER__1.1452 ENSG00000174373.1
velifer_evm.TU.SUPER__1.1453 ENSG00000168348.1
velifer_evm.TU.SUPER__1.1454 ENSG00000242612.1
velifer_evm.TU.SUPER__1.1456 ENSG00000100906.1
velifer_evm.TU.SUPER__1.1457 ENSG00000100902.1
velifer_evm.TU.SUPER__1.1458 ENSG00000100890.1
velifer_evm.TU.SUPER__1.146 ENSG00000121067.3
velifer_evm.TU.SUPER__1.1460 ENSG00000151327.1
velifer_evm.TU.SUPER__1.1461 ENSG00000100883.1
velifer_evm.TU.SUPER__1.1463 ENSG00000147262.1
velifer_evm.TU.SUPER__1.1464 ENSG00000198604.1
velifer_evm.TU.SUPER__1.1465 ENSG00000147669.2
velifer_evm.TU.SUPER__1.1466 ENSG00000165410.1
velifer_evm.TU.SUPER__1.1467 ENSG00000157765.1
velifer_evm.TU.SUPER__1.147 ENSG00000204532.1
velifer_evm.TU.SUPER__1.1470 ENSG00000067225.2
velifer_evm.TU.SUPER__1.1472 ENSG00000129518.1
velifer_evm.TU.SUPER__1.1473 ENSG00000165389.1
velifer_evm.TU.SUPER__1.1474 ENSG00000176273.1
velifer_evm.TU.SUPER__1.148 ENSG00000178163.1
velifer_evm.TU.SUPER__1.1483 ENSG00000129521.1
velifer_evm.TU.SUPER__1.1484 ENSG00000151322.1
velifer_evm.TU.SUPER__1.1485 ENSG00000151320.1
velifer_evm.TU.SUPER__1.1486 ENSG00000125503.3
velifer_evm.TU.SUPER__1.1487 ENSG00000100852.1
velifer_evm.TU.SUPER__1.1491 ENSG00000129480.1
velifer_evm.TU.SUPER__1.1492 ENSG00000129493.1
velifer_evm.TU.SUPER__1.1493 ENSG00000124614.1
velifer_evm.TU.SUPER__1.1499 ENSG00000092108.1
velifer_evm.TU.SUPER__1.150 ENSG00000109684.1
velifer_evm.TU.SUPER__1.1504 ENSG00000184304.1
velifer_evm.TU.SUPER__1.1508 ENSG00000176165.1
velifer_evm.TU.SUPER__1.1509 ENSG00000111640.2
velifer_evm.TU.SUPER__1.1512 ENSG00000204304.2
velifer_evm.TU.SUPER__1.1517 ENSG00000099804.1
velifer_evm.TU.SUPER__1.1518 ENSG00000139910.1
velifer_evm.TU.SUPER__1.1521 ENSG00000140044.3
velifer_evm.TU.SUPER__1.1522 ENSG00000014164.1
velifer_evm.TU.SUPER__1.1524 ENSG00000196743.1
velifer_evm.TU.SUPER__1.1525 ENSG00000165794.1
velifer_evm.TU.SUPER__1.1527 ENSG00000168952.1
velifer_evm.TU.SUPER__1.1529 ENSG00000144381.1
velifer_evm.TU.SUPER__1.1530 ENSG00000100453.3
velifer_evm.TU.SUPER__1.1531 ENSG00000100450.1
velifer_evm.TU.SUPER__1.1532 ENSG00000100453.4
velifer_evm.TU.SUPER__1.1533 ENSG00000100450.2
velifer_evm.TU.SUPER__1.1534 ENSG00000100450.3
velifer_evm.TU.SUPER__1.1535 ENSG00000100453.5
velifer_evm.TU.SUPER__1.1537 ENSG00000100453.6
velifer_evm.TU.SUPER__1.1538 ENSG00000100450.4
velifer_evm.TU.SUPER__1.1539 ENSG00000100448.1
velifer_evm.TU.SUPER__1.1540 ENSG00000100448.2
velifer_evm.TU.SUPER__1.1543 ENSG00000092009.2
velifer_evm.TU.SUPER__1.1544 ENSG00000100445.1
velifer_evm.TU.SUPER__1.1545 ENSG00000100441.1
velifer_evm.TU.SUPER__1.1546 ENSG00000139899.1
velifer_evm.TU.SUPER__1.1547 ENSG00000205978.1
velifer_evm.TU.SUPER__1.1549 ENSG00000129465.2
velifer_evm.TU.SUPER__1.155 ENSG00000002587.1
velifer_evm.TU.SUPER__1.1551 ENSG00000213903.1
velifer_evm.TU.SUPER__1.1553 ENSG00000136305.1
velifer_evm.TU.SUPER__1.1554 ENSG00000196943.1
velifer_evm.TU.SUPER__1.1555 ENSG00000157379.1
velifer_evm.TU.SUPER__1.1558 ENSG00000092330.1
velifer_evm.TU.SUPER__1.156 ENSG00000143947.1
velifer_evm.TU.SUPER__1.1560 ENSG00000129559.1
velifer_evm.TU.SUPER__1.1562 ENSG00000254505.1
velifer_evm.TU.SUPER__1.1564 ENSG00000254692.1
velifer_evm.TU.SUPER__1.1565 ENSG00000196497.1
velifer_evm.TU.SUPER__1.1569 ENSG00000100908.1
velifer_evm.TU.SUPER__1.1571 ENSG00000139914.1
velifer_evm.TU.SUPER__1.1574 ENSG00000129535.1
velifer_evm.TU.SUPER__1.1577 ENSG00000157326.1
velifer_evm.TU.SUPER__1.1578 ENSG00000134333.1
velifer_evm.TU.SUPER__1.1579 ENSG00000157326.2
velifer_evm.TU.SUPER__1.1581 ENSG00000092051.1
velifer_evm.TU.SUPER__1.1582 ENSG00000213983.1
velifer_evm.TU.SUPER__1.1583 ENSG00000259431.1
velifer_evm.TU.SUPER__1.1584 ENSG00000136367.1
velifer_evm.TU.SUPER__1.1586 ENSG00000129460.1
velifer_evm.TU.SUPER__1.1587 ENSG00000092054.1
velifer_evm.TU.SUPER__1.1588 ENSG00000197616.1
velifer_evm.TU.SUPER__1.1591 ENSG00000100842.1
velifer_evm.TU.SUPER__1.1594 ENSG00000235194.1
velifer_evm.TU.SUPER__1.1595 ENSG00000290292.1
velifer_evm.TU.SUPER__1.1596 ENSG00000215277.1
velifer_evm.TU.SUPER__1.1598 ENSG00000092068.1
velifer_evm.TU.SUPER__1.1599 ENSG00000092067.1
velifer_evm.TU.SUPER__1.1600 ENSG00000283654.1
velifer_evm.TU.SUPER__1.1601 ENSG00000179933.1
velifer_evm.TU.SUPER__1.1602 ENSG00000100813.1
velifer_evm.TU.SUPER__1.1605 ENSG00000222028.1
velifer_evm.TU.SUPER__1.1606 ENSG00000100804.1
velifer_evm.TU.SUPER__1.1608 ENSG00000100802.1
velifer_evm.TU.SUPER__1.1609 ENSG00000129474.1
velifer_evm.TU.SUPER__1.1610 ENSG00000092036.1
velifer_evm.TU.SUPER__1.1611 ENSG00000100462.1
velifer_evm.TU.SUPER__1.1612 ENSG00000100461.1
velifer_evm.TU.SUPER__1.1614 ENSG00000139890.1
velifer_evm.TU.SUPER__1.1615 ENSG00000197324.1
velifer_evm.TU.SUPER__1.1616 ENSG00000157227.1
velifer_evm.TU.SUPER__1.1617 ENSG00000172590.1
velifer_evm.TU.SUPER__1.1619 ENSG00000155465.1
velifer_evm.TU.SUPER__1.1620 ENSG00000155463.1
velifer_evm.TU.SUPER__1.1622 ENSG00000100439.1
velifer_evm.TU.SUPER__1.1623 ENSG00000111605.1
velifer_evm.TU.SUPER__1.1624 ENSG00000129562.1
velifer_evm.TU.SUPER__1.1626 ENSG00000169575.33
velifer_evm.TU.SUPER__1.1628 ENSG00000188389.1
velifer_evm.TU.SUPER__1.1629 ENSG00000162729.1
velifer_evm.TU.SUPER__1.1630 ENSG00000169575.34
velifer_evm.TU.SUPER__1.1632 ENSG00000188389.2
velifer_evm.TU.SUPER__1.1634 ENSG00000254126.1
velifer_evm.TU.SUPER__1.1639 ENSG00000172116.2
velifer_evm.TU.SUPER__1.1641 ENSG00000101825.2
velifer_evm.TU.SUPER__1.1642 ENSG00000009307.1
velifer_evm.TU.SUPER__1.165 ENSG00000157869.1
velifer_evm.TU.SUPER__1.1650 ENSG00000143061.1
velifer_evm.TU.SUPER__1.1651 ENSG00000166796.1
velifer_evm.TU.SUPER__1.1658 ENSG00000154358.1
velifer_evm.TU.SUPER__1.1659 ENSG00000147403.2
velifer_evm.TU.SUPER__1.166 ENSG00000109705.1
velifer_evm.TU.SUPER__1.1662 ENSG00000154358.2
velifer_evm.TU.SUPER__1.1663 ENSG00000019102.1
velifer_evm.TU.SUPER__1.1664 ENSG00000161270.1
velifer_evm.TU.SUPER__1.1666 ENSG00000101307.4
velifer_evm.TU.SUPER__1.1668 ENSG00000169575.35
velifer_evm.TU.SUPER__1.1669 ENSG00000103264.4
velifer_evm.TU.SUPER__1.1670 ENSG00000276240.1
velifer_evm.TU.SUPER__1.1674 ENSG00000165821.1
velifer_evm.TU.SUPER__1.1676 ENSG00000165819.1
velifer_evm.TU.SUPER__1.1677 ENSG00000092203.1
