label	lnSize.median	lnLife.median	lnSize.low	lnLife.low	lnSize.high	lnLife.high	lnK1	lnK2	log2CancerSucceptabilityChange	label_clean
Hemicentetes_semispinosus	5.19296	0.993252	5.19296	0.993252	5.19296	0.993252	11.152472	17.69718	9.44201777566633	NA
Natalus_stramineus	1.73695	1.57485	1.73695	1.57485	1.73695	1.57485	11.18605	17.53667	9.16200798057027	NA
Cephalophus_leucogaster	9.48863	1.67335	9.48863	1.67335	9.48863	1.67335	19.52873	25.78513	9.02607725381771	NA
Delphinus_delphis	11.2898	2.99573	11.2898	2.99573	11.2898	2.99573	29.26418	35.46166	8.94107366200853	NA
Lagostrophus_fasciatus	7.64969	1.38629	7.64969	1.38629	7.64969	1.38629	15.96743	22.10036	8.84794769711915	NA
1153	4.07935	1.48858	3.15462	1.04281	5.20934	1.96619	13.01083	19.07169	8.74397266552229	NA
Pseudantechinus_ningbing	3.03206	0.693147	3.03206	0.693147	3.03206	0.693147	7.190942	13.15379	8.60257123917467	NA
Rhinolophus_rouxii	2.50553	1.60944	2.50553	1.60944	2.50553	1.60944	12.16217	18.07894	8.53609473708059	NA
Cercartetus_caudatus	3.4012	1.16315	3.4012	1.16315	3.4012	1.16315	10.3801	16.23791	8.45103343746978	NA
Ctenomys_talarum	4.94762	1.09861	4.94762	1.09861	4.94762	1.09861	11.53928	17.29718	8.30689377593456	NA
Eonycteris_spelaea	4.07244	1.60944	4.07244	1.60944	4.07244	1.60944	13.72908	19.48596	8.30542222699286	NA
Dromiciops_gliroides	3.21888	1.16315	3.21888	1.16315	3.21888	1.16315	10.19778	15.91598	8.24961878281127	NA
Amblysomus_hottentotus	4.13677	0	4.13677	0	4.13677	0	4.13677	9.680788	7.99832727519915	NA
Didelphis_albiventris	6.93777	0.530628	6.93777	0.530628	6.93777	0.530628	10.121538	15.63877	7.9596832458339	NA
Myotis_nigricans	1.43508	1.94591	1.43508	1.94591	1.43508	1.94591	13.11054	18.4966	7.77044205193041	NA
Catagonus_wagneri	10.4792	2.19722	10.4792	2.19722	10.4792	2.19722	23.66252	28.95464	7.6349152797893	NA
1428	11.1528	2.95025	10.9137	2.84481	11.4258	3.05503	28.8543	34.14638	7.63485757198767	NA
Myopus_schisticolor	3.40086	0	3.40086	0	3.40086	0	3.40086	8.675844	7.61019325756863	NA
1933	6.18609	1.50694	5.52121	1.12406	7.02897	1.93605	15.22773	20.4916	7.59415914488419	NA
Nycticeius_humeralis	2.27727	1.79176	2.27727	1.79176	2.27727	1.79176	13.02783	18.2723	7.56617086109094	NA
Calyptophractus_retusus	4.86746	2.48491	4.86746	2.48491	4.86746	2.48491	19.77692	24.83172	7.29253489268553	NA
Prionodon_linsang	6.55108	2.37024	6.55108	2.37024	6.55108	2.37024	20.77252	25.79613	7.24753723436021	NA
Myodes_gapperi	2.9872	0.510826	2.9872	0.510826	2.9872	0.510826	6.052156	10.99533	7.13149261605126	NA
2056	2.51096	0.859864	1.86879	0.51515	3.2598	1.25686	7.670144	12.61325	7.13139451278848	NA
Eligmodontia_typus	3.06339	-0.223144	3.06339	-0.223144	3.06339	-0.223144	1.724526	6.653442	7.11092267015827	NA
Saccopteryx_bilineata	2.08939	1.79176	2.08939	1.79176	2.08939	1.79176	12.83995	17.684	6.98848691281818	NA
Pudu_mephistophiles	9.16951	2.30259	9.16951	2.30259	9.16951	2.30259	22.98505	27.77412	6.90916753947011	NA
2150	5.25811	1.80021	3.46071	1.01866	7.29815	2.73964	16.05937	20.83243	6.88606999186547	NA
Dasyurus_albopunctatus	6.40271	1.09861	6.40271	1.09861	6.40271	1.09861	12.99437	17.61673	6.66865584920351	NA
Ochotona_alpina	5.01064	1.09861	5.01064	1.09861	5.01064	1.09861	11.6023	16.18656	6.61368916814564	NA
Microtus_richardsoni	4.44852	0.405465	4.44852	0.405465	4.44852	0.405465	6.88131	11.39271	6.50857440746647	NA
1407	11.8451	3.63701	10.9866	3.31001	12.8766	3.95492	33.66716	38.1569	6.47732563288081	NA
Phodopus_campbelli	3.29806	0.583146	3.29806	0.583146	3.29806	0.583146	6.796936	11.28546	6.47557131571109	NA
Neotragus_batesi	7.99546	2.63906	7.99546	2.63906	7.99546	2.63906	23.82982	28.14054	6.21905436666087	NA
Urocyon_littoralis	7.56164	2.07944	7.56164	2.07944	7.56164	2.07944	20.03828	24.28889	6.13233396775304	NA
Geocapromys_ingrahami	6.59785	1.79176	6.59785	1.79176	6.59785	1.79176	17.34841	21.49232	5.97839840689018	NA
1909	5.4302	1.68379	4.9158	1.45329	5.90037	1.92103	15.53294	19.6652	5.96159100966383	NA
Microtus_oeconomus	4.06044	0.587787	4.06044	0.587787	4.06044	0.587787	7.587162	11.6326	5.83633334082377	NA
Wyulda_squamicaudata	7.4951	1.79176	7.4951	1.79176	7.4951	1.79176	18.24566	22.27236	5.80930012114759	NA
1964	4.05147	1.8379	3.02928	1.35502	5.33199	2.40152	15.07887	19.08807	5.78405295793203	NA
Makalata_didelphoides	5.98811	1.1314	5.98811	1.1314	5.98811	1.1314	12.77651	16.76306	5.7513759152559	NA
Dasykaluta_rosamondae	3.47103	1.09861	3.47103	1.09861	3.47103	1.09861	10.06269	13.99853	5.67821684973242	NA
Notiosorex_crawfordi	1.56653	0.223144	1.56653	0.223144	1.56653	0.223144	2.905394	6.76679	5.57081686010848	NA
Baiomys_taylori	2.07944	1.19392	2.07944	1.19392	2.07944	1.19392	9.24296	13.09079	5.55124525918378	NA
Chaerephon_pumilus	2.39608	1.60944	2.39608	1.60944	2.39608	1.60944	12.05272	15.87371	5.51252332428632	NA
2118	4.13685	1.9248	3.02928	1.09301	5.45537	2.72867	15.68565	19.49905	5.50157326892597	NA
Ictonyx_libyca	5.4169	1.60944	5.4169	1.60944	5.4169	1.60944	15.07354	18.86732	5.47326759222373	NA
1441	10.431	3.05353	8.59248	2.4505	13.1528	3.69577	28.75218	32.45242	5.33831789809898	NA
1255	7.98009	2.51659	7.00852	2.09832	8.88261	2.97	23.07963	26.74199	5.28366860995011	NA
1844	4.79641	1.80569	3.85693	1.3532	5.73165	2.27262	15.63055	19.26391	5.24183045376432	NA
Perognathus_merriami	2.07944	0.916291	2.07944	0.916291	2.07944	0.916291	7.577186	11.20186	5.22929920463916	NA
Mesoplodon_densirostris	14.6484	3.29584	14.6484	3.29584	14.6484	3.29584	34.42344	37.9286	5.05687694952236	NA
Microdipodops_megacephalus	2.59525	1.68948	2.59525	1.68948	2.59525	1.68948	12.73213	16.23391	5.05200064028415	NA
Viverricula_indica	8.00637	2.35138	8.00637	2.35138	8.00637	2.35138	22.11465	25.57158	4.98729576770029	NA
Abrothrix_olivaceus	3.19949	0	3.19949	0	3.19949	0	3.19949	6.653442	4.98299942186852	NA
Sicista_betulina	2.1883	1.38629	2.1883	1.38629	2.1883	1.38629	10.50604	13.95936	4.98208763860267	NA
Pogonomys_macrourus	4.04305	1.1314	4.04305	1.1314	4.04305	1.1314	10.83145	14.26453	4.95288749097508	NA
Paradoxurus_jerdoni	8.16915	2.48491	8.16915	2.48491	8.16915	2.48491	23.07861	26.48891	4.92002289794362	NA
Cercopithecus_lhoesti	8.57687	2.77259	8.57687	2.77259	8.57687	2.77259	25.21241	28.59585	4.88127210914536	NA
Tamias_amoenus	3.92454	1.64223	3.92454	1.64223	3.92454	1.64223	13.77792	17.1589	4.87772307934477	NA
Bettongia_tropica	7.13615	1.94591	7.13615	1.94591	7.13615	1.94591	18.81161	22.14977	4.8159468776939	NA
Microgale_talazaci	3.91202	1.76359	3.91202	1.76359	3.91202	1.76359	14.49356	17.72317	4.6593423310054	NA
Arctocebus_calabarensis	5.553	2.56495	5.553	2.56495	5.553	2.56495	20.9427	24.17148	4.65814489412146	NA
Poecilogale_albinucha	5.73062	1.64866	5.73062	1.64866	5.73062	1.64866	15.62258	18.82339	4.6177927138278	NA
1902	4.11781	1.95935	2.99207	1.43971	5.40691	2.47828	15.87391	19.0362	4.56222010085276	NA
1669	5.17254	2.12106	3.39487	1.16918	7.00381	3.04865	17.8989	21.05955	4.5598540809857	NA
1937	6.59811	1.86923	6.22813	1.67806	6.99844	2.11104	17.81349	20.97135	4.55582896182163	NA
Molossus_molossus	2.63906	1.72277	2.63906	1.72277	2.63906	1.72277	12.97568	16.10757	4.51836217160973	NA
Pseudantechinus_bilarni	3.3322	1.09861	3.3322	1.09861	3.3322	1.09861	9.92386	13.02154	4.46900757426092	NA
Trichys_fasciculata	7.6009	2.31254	7.6009	2.31254	7.6009	2.31254	21.47614	24.52658	4.40085466052933	NA
Balaenoptera_acutorostrata	15.8304	3.91202	15.8304	3.91202	15.8304	3.91202	39.30252	42.35276	4.40056612152116	NA
Aonyx_cinerea	8.16837	2.31088	8.16837	2.31088	8.16837	2.31088	22.03365	25.07302	4.38488402642669	NA
Hemibelideus_lemuroides	6.94698	1.6864	6.94698	1.6864	6.94698	1.6864	17.06538	20.10212	4.38108973846915	NA
1703	6.47436	2.44271	5.73556	2.0874	7.20124	2.89224	21.13062	24.14438	4.34793660642952	NA
1984	3.94512	1.66904	2.21948	1.07552	5.53827	2.3796	13.95936	16.93819	4.29754326865127	NA
Hypsiprymnodon_moschatus	6.28086	1.79176	6.28086	1.79176	6.28086	1.79176	17.03142	20.00357	4.28790606577813	NA
Dremomys_lokriah	5.42491	1.96009	5.42491	1.96009	5.42491	1.96009	17.18545	20.12897	4.24660170675748	NA
Pelea_capreolus	10.1266	2.51204	10.1266	2.51204	10.1266	2.51204	25.19884	28.10396	4.19120221718735	NA
Neotragus_pygmaeus	8.27223	2.63906	8.27223	2.63906	8.27223	2.63906	24.10659	27.00505	4.18159386821502	NA
1945	6.29507	1.99637	5.23433	1.51239	7.28771	2.49369	18.27329	21.1552	4.15771726528832	NA
Balaenoptera_borealis	16.9114	4.30407	16.9114	4.30407	16.9114	4.30407	42.73582	45.58416	4.10928599276567	NA
Gazella_arabica	10.091	2.42745	10.091	2.42745	10.091	2.42745	24.6557	27.49772	4.10016816010725	NA
2242	8.74607	1.94104	8.26331	1.67932	9.29148	2.28653	20.39231	23.22832	4.09149756291151	NA
Pipistrellus_kuhlii	1.80336	2.07944	1.80336	2.07944	1.80336	2.07944	14.28	17.10581	4.07678207349444	NA
Phyllostomus_discolor	3.77046	2.19722	3.77046	2.19722	3.77046	2.19722	16.95378	19.77956	4.07673879264321	NA
Bradypus_torquatus	8.40479	2.48491	8.40479	2.48491	8.40479	2.48491	23.31425	26.06943	3.97488452275645	NA
Moschiola_meminna	8.04909	2.67415	8.04909	2.67415	8.04909	2.67415	24.09399	26.8312	3.94895929287168	NA
Zaedyus_pichiy	7.31322	2.52573	7.31322	2.52573	7.31322	2.52573	22.4676	25.17085	3.89996536928309	NA
Arctocephalus_forsteri	11.5253	2.70805	11.5253	2.70805	11.5253	2.70805	27.7736	30.46094	3.87701209118255	NA
Sundamys_muelleri	5.87628	0.693147	5.87628	0.693147	5.87628	0.693147	10.035162	12.71477	3.8658571731264	NA
Spalax_leucodon	5.24	1.50408	5.24	1.50408	5.24	1.50408	14.26448	16.91523	3.82422387963642	NA
Corynorhinus_rafinesquii	2.40695	2.31254	2.40695	2.31254	2.40695	2.31254	16.28219	18.93177	3.82253592643858	NA
2223	2.57402	0.962911	1.79695	0.493786	3.47287	1.43487	8.351486	10.98779	3.8033827070757402	NA
Antechinus_leo	4.24978	0.693147	4.24978	0.693147	4.24978	0.693147	8.408662	11.03621	3.79075046929771	NA
1411	10.992	3.30773	10.3801	3.04377	11.8891	3.64699	30.83838	33.45782	3.77905309790619	NA
Chinchilla_chinchilla	6.21459	2.30259	6.21459	2.30259	6.21459	2.30259	20.03013	22.64646	3.77456631632902	NA
2286	4.32991	1.8645	2.75791	1.07603	6.03407	2.57924	15.51691	18.12118	3.7571674141359	NA
Antechinus_minimus	3.96196	0.693147	3.96196	0.693147	3.96196	0.693147	8.120842	10.68077	3.6931954306328	NA
Dryomys_nitedula	3.38439	1.41099	3.38439	1.41099	3.38439	1.41099	11.85033	14.38301	3.65388487615866	NA
Urotrichus_talpoides	2.90142	1.25276	2.90142	1.25276	2.90142	1.25276	10.41798	12.9427	3.64240102363318	NA
Myotis_leibii	1.72277	2.48491	1.72277	2.48491	1.72277	2.48491	16.63223	19.1446	3.6245837398782	NA
Pteromys_volans	4.96347	2.43361	4.96347	2.43361	4.96347	2.43361	19.56513	22.07255	3.6174423994258	NA
2113	2.99541	1.43205	1.65077	0.826694	4.73668	2.06407	11.58771	14.09496	3.61719714126885	NA
Chiropodomys_gliroides	3.3673	1.28093	3.3673	1.28093	3.3673	1.28093	11.05288	13.5548	3.60950757670091	NA
Mustela_frenata	5.24718	2.17475	5.24718	2.17475	5.24718	2.17475	18.29568	20.74038	3.52695656646125	NA
1391	11.2142	3.11072	9.82492	2.39295	12.9181	3.76977	29.87852	32.31124	3.5096730798714	NA
Papio_anubis	9.78293	3.22684	9.78293	3.22684	9.78293	3.22684	29.14397	31.54122	3.45850068677106	NA
Gazella_spekei	9.90349	2.53924	9.90349	2.53924	9.90349	2.53924	25.13893	27.52147	3.43727864271959	NA
Eremitalpa_granti	3.09286	0.693147	3.09286	0.693147	3.09286	0.693147	7.251742	9.596786	3.38318334946642	NA
2078	3.98552	0.823478	3.00172	0.257704	5.00678	1.45317	8.926388	11.26641	3.37593813497107	NA
Leopoldamys_sabanus	5.85108	0.693147	5.85108	0.693147	5.85108	0.693147	10.009962	12.33987	3.36134671732752	NA
Protoxerus_stangeri	6.4464	1.62924	6.4464	1.62924	6.4464	1.62924	16.22184	18.51802	3.31268749898842	NA
Tetracerus_quadricornis	9.86693	2.85647	9.86693	2.85647	9.86693	2.85647	27.00575	29.28668	3.29068639961486	NA
Mustela_nivalis	4.36246	2.30259	4.36246	2.30259	4.36246	2.30259	18.178	20.45357	3.2829535541957	NA
Reithrodontomys_megalotis	2.3979	0.405465	2.3979	0.405465	2.3979	0.405465	4.83069	7.105698	3.28214275958272	NA
Lophocebus_aterrimus	8.78115	3.2884	8.78115	3.2884	8.78115	3.2884	28.51155	30.78191	3.27543711303266	NA
Spilogale_putorius	6.39693	2.35138	6.39693	2.35138	6.39693	2.35138	20.50521	22.77295	3.27165725202554	NA
1626	2.88502	2.28614	1.81906	1.70319	4.12009	2.89642	16.60186	18.86903	3.27083491585223	NA
Lipotes_vexillifer	11.6275	3.17805	11.6275	3.17805	11.6275	3.17805	30.6958	32.96248	3.27012799528219	NA
Condylura_cristata	4.01277	1.09861	4.01277	1.09861	4.01277	1.09861	10.60443	12.84926	3.23860510863877	NA
Orcaella_brevirostris	12.1548	3.4012	12.1548	3.4012	12.1548	3.4012	32.562	34.7839	3.20552411135119	NA
Antilocapra_americana	10.7674	2.74084	10.7674	2.74084	10.7674	2.74084	27.21244	29.4291	3.19796438933693	NA
Microcebus_rufus	4.01638	2.48491	4.01638	2.48491	4.01638	2.48491	18.92584	21.13364	3.18518211127465	NA
Lagenorhynchus_acutus	12.2453	3.29584	12.2453	3.29584	12.2453	3.29584	32.02034	34.22354	3.17854571408656	NA
Marmosa_murina	3.59127	1.28093	3.59127	1.28093	3.59127	1.28093	11.27685	13.47439	3.17038006015513	NA
Presbytis_melalophos	8.78569	2.99573	8.78569	2.99573	8.78569	2.99573	26.76007	28.9542	3.1654604700657	NA
Chaetophractus_vellerosus	6.83536	2.78501	6.83536	2.78501	6.83536	2.78501	23.54542	25.70968	3.12236716919435	NA
2077	4.25037	1.16934	3.13689	0.514123	5.34087	1.87251	11.26641	13.40887	3.09091641730297	NA
2105	3.35682	1.32144	3.1981	0.514337	3.55014	1.4769	11.28546	13.38976	3.03586317454265	NA
Caluromys_lanatus	5.85888	1.60944	5.85888	1.60944	5.85888	1.60944	15.51552	17.60724	3.01771407092826	NA
Rhinolophus_euryale	2.22462	2.56495	2.22462	2.56495	2.22462	2.56495	17.61432	19.70593	3.01755537447377	NA
2102	3.49233	0.863919	2.91634	0.270437	4.13587	1.30152	8.675844	10.75723	3.00280526037571	NA
1180	2.12139	0.535042	1.18853	0.0577579	3.20638	1.0684	5.331642	7.407862	2.99535229779448	NA
2080	3.78177	0.478612	2.67045	-0.340042	4.89272	1.16449	6.653442	8.72148	2.98354816696993	NA
1156	4.15221	1.14491	3.69878	0.928107	4.6974	1.38919	11.02167	13.06921	2.95397580402179	NA
Sundasciurus_tenuis	4.31749	2.30259	4.31749	2.30259	4.31749	2.30259	18.13303	20.15308	2.91431611734775	NA
Psammomys_obesus	5.35659	1.16315	5.35659	1.16315	5.35659	1.16315	12.33549	14.35014	2.90652556412695	NA
1708	5.02557	2.56285	3.88907	2.0402	6.19168	3.10428	20.40267	22.41619	2.90489531873074	NA
Conilurus_penicillatus	5.1649	1.50408	5.1649	1.50408	5.1649	1.50408	14.18938	16.20269	2.90459235277216	NA
Prolemur_simus	7.61599	2.8679	7.61599	2.8679	7.61599	2.8679	24.82339	26.81823	2.87794577536694	NA
Haplonycteris_fischeri	2.90417	2.30259	2.90417	2.30259	2.90417	2.30259	16.71971	18.7132	2.87599813706174	NA
Gerbillus_nanus	3.23868	1.50408	3.23868	1.50408	3.23868	1.50408	12.26316	14.2437	2.85731523628223	NA
Ornithorhynchus_anatinus	7.30266	3.11795	7.30266	3.11795	7.30266	3.11795	26.01036	27.97012	2.82733603333255	NA
Trichechus_inunguis	13.0815	3.68888	13.0815	3.68888	13.0815	3.68888	35.21478	37.17424	2.82690322482028	NA
Lasionycteris_noctivagans	2.39971	2.48491	2.39971	2.48491	2.39971	2.48491	17.30917	19.26781	2.82572021488676	NA
1291	6.47607	2.39084	5.63653	1.74609	7.43561	2.82924	20.82111	22.77912	2.824811317011	NA
1292	6.16826	2.11651	5.49302	1.58273	6.99958	2.72704	18.86732	20.82111	2.81872314393845	NA
Ningaui_ridei	2.24284	0.693147	2.24284	0.693147	2.24284	0.693147	6.401722	8.351486	2.81291485370383	NA
1363	8.94045	2.82187	8.56051	2.63147	9.4279	2.99908	25.87167	27.81415	2.80240626302599	NA
Steno_bredanensis	11.7753	3.46574	11.7753	3.46574	11.7753	3.46574	32.56974	34.50822	2.79663548286244	NA
Vulpes_cana	6.90776	2.30259	6.90776	2.30259	6.90776	2.30259	20.7233	22.66128	2.795914135342	NA
1442	9.40198	2.90487	7.90818	2.29389	11.2535	3.49927	26.8312	28.75218	2.77138831964688	NA
Sminthopsis_murina	2.83321	0.693147	2.83321	0.693147	2.83321	0.693147	6.992092	8.889668	2.73762348490992	NA
2219	2.89112	0.999758	2.34439	0.739638	3.40462	1.31997	8.889668	10.78017	2.72741786019067	NA
Myosorex_varius	2.8622	0.741937	2.8622	0.741937	2.8622	0.741937	7.313822	9.19789	2.71813556029759	NA
Beatragus_hunteri	11.9767	2.71932	11.9767	2.71932	11.9767	2.71932	28.29262	30.16162	2.69639703142148	NA
2184	3.67548	1.53517	2.49371	1.07796	5.001	2.01997	12.8865	14.74882	2.68675982854834	NA
1465	9.89213	2.81477	9.31504	2.54177	10.4821	3.06924	26.78075	28.64086	2.68357147250796	NA
Dendromus_mesomelas	2.56495	1.19392	2.56495	1.19392	2.56495	1.19392	9.72847	11.58771	2.6823163278224	NA
Tragelaphus_scriptus	11.0021	2.72785	11.0021	2.72785	11.0021	2.72785	27.3692	29.21888	2.6685241632315	NA
Lepus_americanus	7.37776	2.07944	7.37776	2.07944	7.37776	2.07944	19.8544	21.69908	2.66131068802705	NA
1983	4.94311	1.99918	3.79695	1.40015	6.2522	2.5591	16.93819	18.78069	2.65816561283792	NA
Ningaui_timealeyi	2.35138	0.693147	2.35138	0.693147	2.35138	0.693147	6.510262	8.351486	2.65632473396574	NA
Euroscaptor_mizura	3.22087	1.09861	3.22087	1.09861	3.22087	1.09861	9.81253	11.65248	2.65448674048365	NA
Lepilemur_leucopus	6.39691	2.14982	6.39691	2.14982	6.39691	2.14982	19.29583	21.13062	2.64704243407266	NA
Thryonomys_swinderianus	8.79482	1.6864	8.79482	1.6864	8.79482	1.6864	18.91322	20.74543	2.64332028086717	NA
Saiga_tatarica	10.5383	2.48491	10.5383	2.48491	10.5383	2.48491	25.44776	27.26918	2.62775360137597	NA
1281	6.45637	2.48676	5.60713	2.19174	7.3666	2.8081	21.37693	23.19522	2.623237965898	NA
1178	2.59065	0.895978	1.29717	0.260327	3.98645	1.58436	7.966518	9.78095	2.61767204843024	NA
1201	8.5373	2.73888	7.82917	2.45482	9.28213	3.02153	24.970580000000002	26.78488	2.61748161268484	NA
Lagorchestes_conspicillatus	8.00637	2.17475	8.00637	2.17475	8.00637	2.17475	21.05487	22.86436	2.61054224953817	NA
Rusa_alfredi	10.7467	2.91777	10.7467	2.91777	10.7467	2.91777	28.25332	30.036	2.57186359549193	NA
Colomys_goslingi	4.13517	1.09861	4.13517	1.09861	4.13517	1.09861	10.72683	12.5087	2.57069501250882	NA
1386	11.2715	3.39922	10.7814	3.23999	11.8504	3.53027	31.66682	33.44572	2.56641020823738	NA
Lutreolina_crassicaudata	6.31855	1.09861	6.31855	1.09861	6.31855	1.09861	12.91021	14.6812	2.55499849046394	NA
Dendrohyrax_dorsalis	8.06306	2.30259	8.06306	2.30259	8.06306	2.30259	21.8786	23.64522	2.54869391313526	NA
Erinaceus_concolor	6.57786	1.94591	6.57786	1.94591	6.57786	1.94591	18.25332	20.0119	2.53709464500651	NA
Galea_musteloides	5.95749	1.25276	5.95749	1.25276	5.95749	1.25276	13.47405	15.22773	2.53002543930615	NA
Ochotona_cansus	4.23048	1.60944	4.23048	1.60944	4.23048	1.60944	13.88712	15.63055	2.51523781513704	NA
1932	7.03744	2.24236	5.91801	1.73747	8.20887	2.80462	20.4916	22.22531	2.5012148193396	NA
Sminthopsis_ooldea	2.50062	1.09861	2.50062	1.09861	2.50062	1.09861	9.09228	10.8223	2.49589127463872	NA
Aotus_vociferans	6.77194	3.09558	6.77194	3.09558	6.77194	3.09558	25.34542	27.06958	2.48743708169911	NA
Echymipera_rufescens	7.1309	1.1314	7.1309	1.1314	7.1309	1.1314	13.9193	15.61087	2.44041965031654	NA
Proechimys_guyannensis	5.87633	1.56862	5.87633	1.56862	5.87633	1.56862	15.28805	16.97898	2.43949632549037	NA
Mus_minutoides	1.97408	1.45862	1.97408	1.45862	1.97408	1.45862	10.7258	12.4142	2.43584630703693	NA
Mystacina_tuberculata	3.157	2.02815	3.157	2.02815	3.157	2.02815	15.3259	17.01211	2.43268680489738	NA
Cacajao_melanocephalus	8.04609	2.89037	8.04609	2.89037	8.04609	2.89037	25.38831	27.06927	2.42511265593271	NA
Myotis_californicus	1.47933	2.70805	1.47933	2.70805	1.47933	2.70805	17.72763	19.38107	2.38540968840745	Myotis californicus
Peroryctes_raffrayana	6.80863	1.19392	6.80863	1.19392	6.80863	1.19392	13.97215	15.61087	2.36417321740556	NA
1360	7.94304	2.92603	7.68269	2.67437	9.18768	3.1164	25.49922	27.12457	2.34488438470888	NA
Micromys_minutus	1.94448	1.60944	1.94448	1.60944	1.94448	1.60944	11.60112	13.22328	2.34028218752844	NA
Viverra_tangalunga	8.90246	2.70805	8.90246	2.70805	8.90246	2.70805	25.15076	26.7705	2.33679086552949	NA
Cheirogaleus_major	6.10036	2.70805	6.10036	2.70805	6.10036	2.70805	22.34866	23.96085	2.32589851797078	NA
Procapra_gutturosa	10.309	2.48491	10.309	2.48491	10.309	2.48491	25.21846	26.82758	2.32146944419524	NA
1977	2.17192	1.50499	1.6975	1.06409	2.7697600000000002	1.8902	11.20186	12.78892	2.28964359159324	NA
Mesocricetus_brandti	5.28827	1.4816	5.28827	1.4816	5.28827	1.4816	14.17787	15.75613	2.27694787523341	NA
Octodontomys_gliroides	5.0626	1.99243	5.0626	1.99243	5.0626	1.99243	17.01718	18.58858	2.26705098725292	NA
Suncus_etruscus	0.815365	1.16315	0.815365	1.16315	0.815365	1.16315	7.794265	9.3493	2.24344128290877	NA
1718	6.47349	3.16676	5.82286	2.85725	7.20588	3.45955	25.47405	27.02637	2.23952436587275	NA
Hippocamelus_antisensis	11.136	2.36085	11.136	2.36085	11.136	2.36085	25.3011	26.85232	2.23793740132778	NA
