geneSet	description	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId	userId
R-HSA-168142	Toll Like Receptor 10 (TLR10) Cascade	http://reactome.org/PathwayBrowser/#/R-HSA-168142	0.44761808066445197	0.9597601504382908	0.5045662094696732	0.8497200908312572	7	./Project_1709264139_GSEA/R_HSA_168142.png	2	5599;5608	MAP2K6;MAPK8
R-HSA-168176	Toll Like Receptor 5 (TLR5) Cascade	http://reactome.org/PathwayBrowser/#/R-HSA-168176	0.44761808066445197	0.9597601504382908	0.5045662094696732	0.8497200908312572	7	./Project_1709264139_GSEA/R_HSA_168176.png	2	5599;5608	MAP2K6;MAPK8
R-HSA-975871	MyD88 cascade initiated on plasma membrane	http://reactome.org/PathwayBrowser/#/R-HSA-975871	0.44761808066445197	0.9597601504382908	0.5045662094696732	0.8497200908312572	7	./Project_1709264139_GSEA/R_HSA_975871.png	2	5599;5608	MAP2K6;MAPK8
R-HSA-1500931	Cell-Cell communication	http://reactome.org/PathwayBrowser/#/R-HSA-1500931	0.6638144991964399	1.4569189133504428	0.07600434302279659	0.8497925168859524	9	./Project_1709264139_GSEA/R_HSA_1500931.png	5	6441;10326;5818;140885;3852	KRT5;NECTIN1;SFTPD;SIRPA;SIRPB1
R-HSA-382551	Transport of small molecules	http://reactome.org/PathwayBrowser/#/R-HSA-382551	0.4784733524412427	1.274979667672802	0.112999999887	0.8645233891726526	38	./Project_1709264139_GSEA/R_HSA_382551.png	4	2495;6521;3934;55911	APOBR;FTH1;LCN2;SLC4A1
R-HSA-1187000	Fertilization	http://reactome.org/PathwayBrowser/#/R-HSA-1187000	0.6530947257961823	1.282638282802233	0.17232704380839364	0.8648009136344873	5	./Project_1709264139_GSEA/R_HSA_1187000.png	3	2515;257062;11085	ADAM2;ADAM30;CATSPERD
R-HSA-1474165	Reproduction	http://reactome.org/PathwayBrowser/#/R-HSA-1474165	0.6530947257961823	1.282638282802233	0.17232704380839364	0.8648009136344873	5	./Project_1709264139_GSEA/R_HSA_1474165.png	3	2515;257062;11085	ADAM2;ADAM30;CATSPERD
R-HSA-3000480	Scavenging by Class A Receptors	http://reactome.org/PathwayBrowser/#/R-HSA-3000480	0.7644419712896238	1.4683521402001865	0.06792452821644714	0.8725785366774033	5	./Project_1709264139_GSEA/R_HSA_3000480.png	1	2495	FTH1
R-HSA-1640170	Cell Cycle	http://reactome.org/PathwayBrowser/#/R-HSA-1640170	0.38454189110870973	0.9052731702461639	0.5939139553054418	0.8758802105092922	13	./Project_1709264139_GSEA/R_HSA_1640170.png	8	54908;7444;5558;55355;64326;10926;22822;81620	CDT1;COP1;DBF4;HJURP;PHLDA1;PRIM2;SPDL1;VRK2
R-HSA-381753	Olfactory Signaling Pathway	http://reactome.org/PathwayBrowser/#/R-HSA-381753	0.5340345211768497	1.2274871298502403	0.23670490069165287	0.8765344846311727	12	./Project_1709264139_GSEA/R_HSA_381753.png	4	81327;390190;26211;8387	OR1E1;OR2F1;OR4A16;OR5B2
R-HSA-449147	Signaling by Interleukins	http://reactome.org/PathwayBrowser/#/R-HSA-449147	0.4737234743957615	1.2413363648301916	0.15947843514595944	0.8767290450937318	33	./Project_1709264139_GSEA/R_HSA_449147.png	18	5599;3556;3934;6363;3929;9173;4582;2208;85480;5608;920;133396;9180;6778;3687;1278;28511;5897	CCL19;CD4;COL1A2;FCER2;IL1RAP;IL1RL1;IL31RA;ITGAX;LBP;LCN2;MAP2K6;MAPK8;MUC1;NKIRAS2;OSMR;RAG2;STAT6;TSLP
R-HSA-375276	Peptide ligand-binding receptors	http://reactome.org/PathwayBrowser/#/R-HSA-375276	0.5279701741531192	1.2558617050483596	0.1844262293192354	0.8771680974649937	15	./Project_1709264139_GSEA/R_HSA_375276.png	4	256933;6376;6363;2358	CCL19;CX3CL1;FPR2;NPB
R-HSA-71291	Metabolism of amino acids and derivatives	http://reactome.org/PathwayBrowser/#/R-HSA-71291	0.42237538420569537	0.9610383428960511	0.5181623926088008	0.8772015490742326	12	./Project_1709264139_GSEA/R_HSA_71291.png	6	23743;256987;1468;11019;10841;6128	BHMT2;FTCD;LIAS;RPL6;SERINC5;SLC25A10
R-HSA-73887	Death Receptor Signalling	http://reactome.org/PathwayBrowser/#/R-HSA-73887	0.42033328706059253	0.8983997000470848	0.6043083893375188	0.8794614294385951	8	./Project_1709264139_GSEA/R_HSA_73887.png	3	5599;355;9099	FAS;MAPK8;USP2
R-HSA-198933	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	http://reactome.org/PathwayBrowser/#/R-HSA-198933	0.5033934228119008	1.191409076432626	0.26266804522991927	0.8827279264672293	15	./Project_1709264139_GSEA/R_HSA_198933.png	8	6441;126014;27181;11006;89790;146722;11314;8778	CD300A;CD300LF;LILRB4;OSCAR;SFTPD;SIGLEC10;SIGLEC5;SIGLEC8
R-HSA-2262752	Cellular responses to stress	http://reactome.org/PathwayBrowser/#/R-HSA-2262752	0.5542082730260348	1.2465833258188737	0.20086393066861347	0.8852806522475352	10	./Project_1709264139_GSEA/R_HSA_2262752.png	6	5599;10808;5608;3490;2878;54583	EGLN1;GPX3;HSPH1;IGFBP7;MAP2K6;MAPK8
R-HSA-1280218	Adaptive Immune System	http://reactome.org/PathwayBrowser/#/R-HSA-1280218	0.3646729912248284	0.9616619397188623	0.5525525519994469	0.8864273416897736	41	./Project_1709264139_GSEA/R_HSA_1280218.png	15	6441;126014;27181;55008;11006;151636;89790;3127;920;11127;146722;5788;11314;3119;8778	CD300A;CD300LF;CD4;DTX3L;HERC6;HLA-DQB1;HLA-DRB5;KIF3A;LILRB4;OSCAR;PTPRC;SFTPD;SIGLEC10;SIGLEC5;SIGLEC8
R-HSA-168898	Toll-like Receptor Cascades	http://reactome.org/PathwayBrowser/#/R-HSA-168898	0.5228907854840366	1.2317070790323073	0.208732694133405	0.8866622723780984	12	./Project_1709264139_GSEA/R_HSA_168898.png	4	6441;5599;3929;5608	LBP;MAP2K6;MAPK8;SFTPD
R-HSA-162587	HIV Life Cycle	http://reactome.org/PathwayBrowser/#/R-HSA-162587	0.4849356803350452	0.9652696837837477	0.5261194023306973	0.8894587082351464	5	./Project_1709264139_GSEA/R_HSA_162587.png	2	4686;920	CD4;NCBP1
R-HSA-8957275	Post-translational protein phosphorylation	http://reactome.org/PathwayBrowser/#/R-HSA-8957275	0.43435432963460263	0.9746318369368343	0.4951456305338235	0.8897659735044002	10	./Project_1709264139_GSEA/R_HSA_8957275.png	5	197;5265;3490;338;54972	AHSG;APOB;IGFBP7;SERPINA1;TMEM132A
R-HSA-500792	GPCR ligand binding	http://reactome.org/PathwayBrowser/#/R-HSA-500792	0.37769386154060325	0.9795858520826746	0.5265265259994729	0.8900025060223862	33	./Project_1709264139_GSEA/R_HSA_500792.png	13	256933;6376;6363;2358;2867;134864;6387;5368;5729;59350;1604;976;133	ADGRE5;ADM;CCL19;CD55;CX3CL1;CXCL12;FFAR2;FPR2;NPB;PNOC;PTGDR;RXFP1;TAAR1
R-HSA-8978868	Fatty acid metabolism	http://reactome.org/PathwayBrowser/#/R-HSA-8978868	0.4953643008440969	0.9697136683433379	0.5208845202446136	0.8904372357964627	5	./Project_1709264139_GSEA/R_HSA_8978868.png	2	3033;5321	HADH;PLA2G4A
R-HSA-3214841	PKMTs methylate histone lysines	http://reactome.org/PathwayBrowser/#/R-HSA-3214841	0.5154065849393761	0.9887641251585656	0.4963054181079983	0.891077884797646	5	./Project_1709264139_GSEA/R_HSA_3214841.png	4	79918;55729;9869;9739	ATF7IP;SETD1A;SETD6;SETDB1
R-HSA-76002	Platelet activation, signaling and aggregation	http://reactome.org/PathwayBrowser/#/R-HSA-76002	0.36602391138665274	0.86754310121934	0.6625129795820218	0.8911075798090561	15	./Project_1709264139_GSEA/R_HSA_76002.png	7	197;5265;2811;5321;1278;2157;5196	AHSG;COL1A2;F8;GP1BA;PF4;PLA2G4A;SERPINA1
R-HSA-8878171	Transcriptional regulation by RUNX1	http://reactome.org/PathwayBrowser/#/R-HSA-8878171	0.4339389171656326	0.8771400050032965	0.6551312641346883	0.8922106171075862	6	./Project_1709264139_GSEA/R_HSA_8878171.png	4	2811;84870;5196;9739	GP1BA;PF4;RSPO3;SETD1A
R-HSA-195258	RHO GTPase Effectors	http://reactome.org/PathwayBrowser/#/R-HSA-195258	0.44288759772626585	0.8869064027182506	0.6202686195112715	0.8925845105228517	6	./Project_1709264139_GSEA/R_HSA_195258.png	2	54908;10092	ARPC5;SPDL1
R-HSA-202733	Cell surface interactions at the vascular wall	http://reactome.org/PathwayBrowser/#/R-HSA-202733	0.5020507393671526	1.1701407924182934	0.27707006340013796	0.8926227409334105	12	./Project_1709264139_GSEA/R_HSA_202733.png	9	634;1084;140885;57126;338;1048;3687;1278;5196	APOB;CD177;CEACAM1;CEACAM3;CEACAM5;COL1A2;ITGAX;PF4;SIRPA
R-HSA-109581	Apoptosis	http://reactome.org/PathwayBrowser/#/R-HSA-109581	0.5663826262741202	1.2090161664671346	0.25114155222472423	0.8930650455444595	8	./Project_1709264139_GSEA/R_HSA_109581.png	3	5599;1828;355	DSG1;FAS;MAPK8
R-HSA-5357801	Programmed Cell Death	http://reactome.org/PathwayBrowser/#/R-HSA-5357801	0.5663826262741202	1.2090161664671346	0.25114155222472423	0.8930650455444595	8	./Project_1709264139_GSEA/R_HSA_5357801.png	3	5599;1828;355	DSG1;FAS;MAPK8
R-HSA-380108	Chemokine receptors bind chemokines	http://reactome.org/PathwayBrowser/#/R-HSA-380108	0.5783162223583882	1.1759822009379968	0.2752941173231834	0.8931253309649039	6	./Project_1709264139_GSEA/R_HSA_380108.png	3	6376;6363;6387	CCL19;CX3CL1;CXCL12
R-HSA-422475	Axon guidance	http://reactome.org/PathwayBrowser/#/R-HSA-422475	0.34837080449638275	0.8815505414988104	0.6528758822877135	0.893502619624909	22	./Project_1709264139_GSEA/R_HSA_422475.png	8	5599;55816;6387;4686;10092;5788;256076;6128	ARPC5;COL6A5;CXCL12;DOK5;MAPK8;NCBP1;PTPRC;RPL6
R-HSA-381426	Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	http://reactome.org/PathwayBrowser/#/R-HSA-381426	0.38024563845441106	0.8712016569943953	0.6350053355015952	0.8936613968400787	11	./Project_1709264139_GSEA/R_HSA_381426.png	7	197;5265;3490;338;54972;2999;1435	AHSG;APOB;CSF1;GZMH;IGFBP7;SERPINA1;TMEM132A
R-HSA-6785807	Interleukin-4 and Interleukin-13 signaling	http://reactome.org/PathwayBrowser/#/R-HSA-6785807	0.5189382346121685	1.1948740169709737	0.24920802508003376	0.8937812229796873	12	./Project_1709264139_GSEA/R_HSA_6785807.png	7	3934;3929;4582;2208;6778;3687;1278	COL1A2;FCER2;ITGAX;LBP;LCN2;MUC1;STAT6
R-HSA-140877	Formation of Fibrin Clot (Clotting Cascade)	http://reactome.org/PathwayBrowser/#/R-HSA-140877	0.580180442654895	1.1819394253096553	0.2603062423317948	0.8943555342919907	6	./Project_1709264139_GSEA/R_HSA_140877.png	5	7035;2811;57126;2157;5196	CD177;F8;GP1BA;PF4;TFPI
R-HSA-977606	Regulation of Complement cascade	http://reactome.org/PathwayBrowser/#/R-HSA-977606	0.4725517081188373	0.9913015114462366	0.5136054415945517	0.8967144009266437	7	./Project_1709264139_GSEA/R_HSA_977606.png	4	716;1604;3075;10878	C1S;CD55;CFH;CFHR3
R-HSA-8953897	Cellular responses to external stimuli	http://reactome.org/PathwayBrowser/#/R-HSA-8953897	0.5188402609828104	1.2006223305786714	0.24707135223954063	0.8970528189137102	11	./Project_1709264139_GSEA/R_HSA_8953897.png	6	5599;10808;5608;3490;2878;54583	EGLN1;GPX3;HSPH1;IGFBP7;MAP2K6;MAPK8
R-HSA-418594	G alpha (i) signalling events	http://reactome.org/PathwayBrowser/#/R-HSA-418594	0.3882057413693671	0.9944374219147886	0.48795180673900423	0.9006404226358136	26	./Project_1709264139_GSEA/R_HSA_418594.png	13	256933;6376;6363;2358;6387;5368;5321;338;338442;9626;9187;5196;5947	APOB;CCL19;CX3CL1;CXCL12;FPR2;GUCA1C;HCAR2;NPB;PF4;PLA2G4A;PNOC;RBP1;SLC24A1
R-HSA-112316	Neuronal System	http://reactome.org/PathwayBrowser/#/R-HSA-112316	0.4450200798301005	0.9797583079217957	0.49999999945295404	0.900944472031789	9	./Project_1709264139_GSEA/R_HSA_112316.png	1	3556	IL1RAP
R-HSA-1643685	Disease	http://reactome.org/PathwayBrowser/#/R-HSA-1643685	0.32051719921537486	0.8552681634721591	0.7109768371490667	0.9037169833761695	32	./Project_1709264139_GSEA/R_HSA_1643685.png	7	6441;6521;4582;5608;3815;4686;920	CD4;KIT;MAP2K6;MUC1;NCBP1;SFTPD;SLC4A1
R-HSA-6791226	Major pathway of rRNA processing in the nucleolus and cytosol	http://reactome.org/PathwayBrowser/#/R-HSA-6791226	-0.3333333333333333	-0.8103729529174062	0.7031249963378906	0.9044493692465053	5	./Project_1709264139_GSEA/R_HSA_6791226.png	5	4691;6128;8568;25879;84128	DCAF13;NCL;RPL6;RRP1;WDR75
R-HSA-72312	rRNA processing	http://reactome.org/PathwayBrowser/#/R-HSA-72312	-0.3333333333333333	-0.8103729529174062	0.7031249963378906	0.9044493692465053	5	./Project_1709264139_GSEA/R_HSA_72312.png	5	4691;6128;8568;25879;84128	DCAF13;NCL;RPL6;RRP1;WDR75
R-HSA-8868773	rRNA processing in the nucleus and cytosol	http://reactome.org/PathwayBrowser/#/R-HSA-8868773	-0.3333333333333333	-0.8103729529174062	0.7031249963378906	0.9044493692465053	5	./Project_1709264139_GSEA/R_HSA_8868773.png	5	4691;6128;8568;25879;84128	DCAF13;NCL;RPL6;RRP1;WDR75
R-HSA-69620	Cell Cycle Checkpoints	http://reactome.org/PathwayBrowser/#/R-HSA-69620	0.5137299321234223	0.9975820441719184	0.49815043095172573	0.9048497561590376	5	./Project_1709264139_GSEA/R_HSA_69620.png	3	54908;64326;10926	COP1;DBF4;SPDL1
R-HSA-201681	TCF dependent signaling in response to WNT	http://reactome.org/PathwayBrowser/#/R-HSA-201681	-0.29658792650918636	-0.7367932714523568	0.8265306080279051	0.9066280259120354	5	./Project_1709264139_GSEA/R_HSA_201681.png	5	84870;8325;5519;4221;9580	FZD8;MEN1;PPP2R1B;RSPO3;SOX13
R-HSA-199977	ER to Golgi Anterograde Transport	http://reactome.org/PathwayBrowser/#/R-HSA-199977	0.5423181412553781	1.0508940415356278	0.4111922136116883	0.9081442876203054	5	./Project_1709264139_GSEA/R_HSA_199977.png	4	5265;1604;84342;2157	CD55;COG8;F8;SERPINA1
R-HSA-948021	Transport to the Golgi and subsequent modification	http://reactome.org/PathwayBrowser/#/R-HSA-948021	0.5423181412553781	1.0508940415356278	0.4111922136116883	0.9081442876203054	5	./Project_1709264139_GSEA/R_HSA_948021.png	4	5265;1604;84342;2157	CD55;COG8;F8;SERPINA1
R-HSA-2672351	Stimuli-sensing channels	http://reactome.org/PathwayBrowser/#/R-HSA-2672351	-0.259820352612207	-0.758869586120592	0.806666661288889	0.9101389362427549	6	./Project_1709264139_GSEA/R_HSA_2672351.png	5	11059;196527;4308;338440;1183	ANO6;ANO9;CLCN4;TRPM1;WWP1
R-HSA-166658	Complement cascade	http://reactome.org/PathwayBrowser/#/R-HSA-166658	0.3918156225811376	0.8451990466954871	0.6922222214530864	0.911733902611721	8	./Project_1709264139_GSEA/R_HSA_166658.png	4	716;1604;3075;10878	C1S;CD55;CFH;CFHR3
R-HSA-373076	Class A/1 (Rhodopsin-like receptors)	http://reactome.org/PathwayBrowser/#/R-HSA-373076	0.4560955034865916	1.1466938493641945	0.2898696085357376	0.9125212448469548	25	./Project_1709264139_GSEA/R_HSA_373076.png	9	256933;6376;6363;2358;2867;134864;6387;5368;5729	CCL19;CX3CL1;CXCL12;FFAR2;FPR2;NPB;PNOC;PTGDR;TAAR1
R-HSA-166166	MyD88-independent TLR4 cascade	http://reactome.org/PathwayBrowser/#/R-HSA-166166	0.4893855112819942	0.9993967797589733	0.45597104890715195	0.9126772097928009	6	./Project_1709264139_GSEA/R_HSA_166166.png	2	5599;5608	MAP2K6;MAPK8
R-HSA-168164	Toll Like Receptor 3 (TLR3) Cascade	http://reactome.org/PathwayBrowser/#/R-HSA-168164	0.4893855112819942	0.9993967797589733	0.45597104890715195	0.9126772097928009	6	./Project_1709264139_GSEA/R_HSA_168164.png	2	5599;5608	MAP2K6;MAPK8
R-HSA-937061	TRIF(TICAM1)-mediated TLR4 signaling	http://reactome.org/PathwayBrowser/#/R-HSA-937061	0.4893855112819942	0.9993967797589733	0.45597104890715195	0.9126772097928009	6	./Project_1709264139_GSEA/R_HSA_937061.png	2	5599;5608	MAP2K6;MAPK8
R-HSA-168138	Toll Like Receptor 9 (TLR9) Cascade	http://reactome.org/PathwayBrowser/#/R-HSA-168138	0.4893855112819942	0.9993967797589733	0.45597104890715195	0.9126772097928009	6	./Project_1709264139_GSEA/R_HSA_168138.png	2	5599;5608	MAP2K6;MAPK8
R-HSA-168181	Toll Like Receptor 7/8 (TLR7/8) Cascade	http://reactome.org/PathwayBrowser/#/R-HSA-168181	0.4893855112819942	0.9993967797589733	0.45597104890715195	0.9126772097928009	6	./Project_1709264139_GSEA/R_HSA_168181.png	2	5599;5608	MAP2K6;MAPK8
R-HSA-975138	TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation	http://reactome.org/PathwayBrowser/#/R-HSA-975138	0.4893855112819942	0.9993967797589733	0.45597104890715195	0.9126772097928009	6	./Project_1709264139_GSEA/R_HSA_975138.png	2	5599;5608	MAP2K6;MAPK8
R-HSA-975155	MyD88 dependent cascade initiated on endosome	http://reactome.org/PathwayBrowser/#/R-HSA-975155	0.4893855112819942	0.9993967797589733	0.45597104890715195	0.9126772097928009	6	./Project_1709264139_GSEA/R_HSA_975155.png	2	5599;5608	MAP2K6;MAPK8
R-HSA-416476	G alpha (q) signalling events	http://reactome.org/PathwayBrowser/#/R-HSA-416476	0.5604382500701258	1.1579327539357895	0.2884399547828957	0.915211134558144	7	./Project_1709264139_GSEA/R_HSA_416476.png	2	2358;2867	FFAR2;FPR2
R-HSA-1483206	Glycerophospholipid biosynthesis	http://reactome.org/PathwayBrowser/#/R-HSA-1483206	0.5571616294349538	1.1338460241404968	0.3162193695259984	0.9158196525997383	6	./Project_1709264139_GSEA/R_HSA_1483206.png	6	5320;10423;5321;248;114971;80339	ALPI;CDIPT;PLA2G2A;PLA2G4A;PNPLA3;PTPMT1
R-HSA-193704	p75 NTR receptor-mediated signalling	http://reactome.org/PathwayBrowser/#/R-HSA-193704	0.583418277676034	1.1271870311073124	0.3366336629497108	0.9187122085057254	5	./Project_1709264139_GSEA/R_HSA_193704.png	1	5599	MAPK8
R-HSA-5576891	Cardiac conduction	http://reactome.org/PathwayBrowser/#/R-HSA-5576891	0.7094082224141123	1.4764906973673881	0.06947608192542587	0.9187447309035967	7	./Project_1709264139_GSEA/R_HSA_5576891.png	1	27091	CACNG5
R-HSA-1257604	PIP3 activates AKT signaling	http://reactome.org/PathwayBrowser/#/R-HSA-1257604	0.5741453404129881	1.2944867982034791	0.16174863370300696	0.9195903132482491	9	./Project_1709264139_GSEA/R_HSA_1257604.png	4	3556;9173;3815;2444	FRK;IL1RAP;IL1RL1;KIT
R-HSA-9006925	Intracellular signaling by second messengers	http://reactome.org/PathwayBrowser/#/R-HSA-9006925	0.5741453404129881	1.2944867982034791	0.16174863370300696	0.9195903132482491	9	./Project_1709264139_GSEA/R_HSA_9006925.png	4	3556;9173;3815;2444	FRK;IL1RAP;IL1RL1;KIT
R-HSA-73894	DNA Repair	http://reactome.org/PathwayBrowser/#/R-HSA-73894	0.36714462207664667	0.7849831584464938	0.7469746966479927	0.9204509585982315	8	./Project_1709264139_GSEA/R_HSA_73894.png	1	5599	MAPK8
R-HSA-163125	Post-translational modification: synthesis of GPI-anchored proteins	http://reactome.org/PathwayBrowser/#/R-HSA-163125	-0.3215223097112861	-0.7757066786188754	0.7541899399207266	0.9204924472642642	5	./Project_1709264139_GSEA/R_HSA_163125.png	5	1048;248;9488;84628;135228	ALPI;CD109;CEACAM5;NTNG2;PIGB
R-HSA-1483257	Phospholipid metabolism	http://reactome.org/PathwayBrowser/#/R-HSA-1483257	0.4811881611088418	1.0555535507754776	0.3804824557231552	0.9239926729810765	9	./Project_1709264139_GSEA/R_HSA_1483257.png	1	5320	PLA2G2A
